Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
AL1 1AG,Yes,51.74529,-0.328628,515487,206498,TL154064,"Hertfordshire","St Albans","Sopwell", E07000240,E05004802,England,E10000015,"St Albans",1996-12-01,,"","",14,6,"Greater London","St Albans","St Albans 017E","Urban city and town",East of England,91,,E01023741
AL1 1AJ,Yes,51.744498,-0.328599,515491,206410,TL154064,"Hertfordshire","St Albans","Sopwell", E07000240,E05004802,England,E10000015,"St Albans",1996-12-01,,"","",124,51,"Greater London","St Albans","St Albans 017E","Urban city and town",East of England,85,,E01023741
AL1 1AR,Yes,51.739727,-0.317492,516270,205897,TL162058,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",2008-04-01,,"","",32,17,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,93,,E01023684
AL1 1AS,Yes,51.749074,-0.335471,515005,206908,TL150069,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",2008-04-01,,"","",34,13,"Greater London","St Albans","St Albans 012A","Urban city and town",East of England,98,,E01023726
AL1 1AT,Yes,51.742012,-0.319421,516131,206148,TL161061,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",2014-09-01,,"","",,,"Greater London","St Albans","St Albans 016B","Urban city and town",East of England,98,,E01023682
AL1 1BH,Yes,51.746853,-0.338,514836,206657,TL148066,"Hertfordshire","St Albans","Sopwell", E07000240,E05004802,England,E10000015,"St Albans",1991-01-01,,"","",52,41,"Greater London","St Albans","St Albans 017D","Urban city and town",East of England,81,,E01023740
AL1 1BU,Yes,51.749723,-0.340691,514643,206972,TL146069,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1983-07-01,,"","",,,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,104,,E01023743
AL1 1BX,Yes,51.749018,-0.341065,514619,206893,TL146068,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",54,19,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,97,,E01023743
AL1 1BY,Yes,51.749862,-0.34157,514582,206986,TL145069,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",18,5,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,106,,E01023743
AL1 1BZ,Yes,51.750392,-0.340319,514667,207047,TL146070,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",18,12,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,109,,E01023743
AL1 1DD,Yes,51.750304,-0.340452,514658,207037,TL146070,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",,,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,109,,E01023743
AL1 1DG,Yes,51.747702,-0.343373,514463,206743,TL144067,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",24,8,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,83,,E01023743
AL1 1DH,Yes,51.747565,-0.341944,514562,206730,TL145067,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",33,18,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,83,,E01023743
AL1 1DQ,Yes,51.747409,-0.34234,514535,206712,TL145067,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1980-01-01,,"","",9,5,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,82,,E01023743
AL1 1DS,Yes,51.732218,-0.318698,516206,205060,TL162050,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",8,2,"","","St Albans 016D","Urban city and town",East of England,94,,E01023684
AL1 1DT,Yes,51.750048,-0.3401,514683,207009,TL146070,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",2002-06-01,,"","",,,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,106,,E01023727
AL1 1DU,Yes,51.731179,-0.31584,516406,204949,TL164049,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",81,27,"","","St Albans 016D","Urban city and town",East of England,92,,E01023684
AL1 1DW,Yes,51.749306,-0.341706,514574,206924,TL145069,"Hertfordshire","St Albans","Verulam", E07000240,E05004803,England,E10000015,"St Albans",1993-01-01,,"","",12,5,"Greater London","St Albans","St Albans 014B","Urban city and town",East of England,100,,E01023743
AL1 1DX,Yes,51.731715,-0.301875,517369,205031,TL173050,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",19,6,"","","St Albans 016D","Urban city and town",East of England,84,,E01023684
AL1 1DZ,Yes,51.731468,-0.30465,517178,204999,TL171049,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",7,3,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,83,,E01023684
AL1 1EA,Yes,51.731809,-0.306506,517049,205034,TL170050,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",63,19,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,82,,E01023684
AL1 1EB,Yes,51.733303,-0.307811,516955,205198,TL169051,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",4,1,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,87,,E01023684
AL1 1EE,Yes,51.732087,-0.308305,516924,205062,TL169050,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",10,4,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,81,,E01023684
AL1 1EG,Yes,51.730614,-0.308433,516919,204898,TL169048,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",,,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,80,,E01023684
AL1 1EQ,Yes,51.731212,-0.30941,516850,204963,TL168049,"Hertfordshire","St Albans","Cunningham", E07000240,E05004789,England,E10000015,"St Albans",1980-01-01,,"","",,,"Greater London","St Albans","St Albans 016D","Urban city and town",East of England,80,,E01023684
AL1 1ER,Yes,51.75039,-0.339479,514725,207048,TL147070,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",2,1,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,109,,E01023727
AL1 1EU,Yes,51.750252,-0.339904,514696,207032,TL146070,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",7,4,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,108,,E01023727
AL1 1EX,Yes,51.750209,-0.339427,514729,207028,TL147070,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",,,"Greater London","St Albans","St Albans 012A","Urban city and town",East of England,107,,E01023726
AL1 1EZ,Yes,51.749994,-0.340102,514683,207003,TL146070,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",1,0,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,106,,E01023727
AL1 1HA,Yes,51.749207,-0.340406,514664,206915,TL146069,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",17,7,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,99,,E01023727
AL1 1HB,Yes,51.748966,-0.340559,514654,206888,TL146068,"Hertfordshire","St Albans","St Peters", E07000240,E05004799,England,E10000015,"St Albans",1980-01-01,,"","",3,2,"Greater London","St Albans","St Albans 012B","Urban city and town",East of England,96,,E01023727
