Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
BA1 0AQ,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2007-09-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0AY,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2009-10-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0AZ,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2009-10-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0BG,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-10-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0BT,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2005-10-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0DH,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-02-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0DS,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-03-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0EJ,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-07-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0EQ,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-07-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FA,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-09-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FG,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2006-11-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FH,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2007-01-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FN,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2007-01-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FW,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2008-01-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
BA1 0FX,Yes,51.378853,-2.355562,375350,164482,ST753644,"Somerset","Bath and North East Somerset","Abbey", E06000022,E05001935,England,E10000027,"Bath",2007-03-01,,"","",,,"Bath","","Bath and North East Somerset 007B","Urban city and town",South West,22,,E01014371
