Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
BH1 1AA,Yes,50.727912,-1.863623,409722,92041,SZ097920,"Dorset","Bournemouth","East Cliff and Springbourne", E06000028,E05002116,England,E10000009,"Bournemouth East",1991-09-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021B","Urban city and town",South West,36,,E01015288
BH1 1AF,Yes,50.723263,-1.871301,409181,91523,SZ091915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2008-01-01,,"","",22,14,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,35,,E01015287
BH1 1AH,Yes,50.722731,-1.870112,409265,91464,SZ092914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2008-03-01,,"","",20,12,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,31,,E01015285
BH1 1AJ,Yes,50.729935,-1.871552,409162,92265,SZ091922,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2008-09-01,,"","",38,24,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,41,,E01015287
BH1 1AL,Yes,50.721849,-1.869845,409284,91366,SZ092913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2010-07-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,32,,E01015285
BH1 1AN,Yes,50.722503,-1.867676,409437,91439,SZ094914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2010-08-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,35,,E01015285
BH1 1AQ,Yes,50.723924,-1.867601,409442,91597,SZ094915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2012-02-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,38,,E01015285
BH1 1AR,Yes,50.722931,-1.872746,409079,91486,SZ090914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2015-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,29,,E01015287
BH1 1AT,Yes,50.724223,-1.870037,409270,91630,SZ092916,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2015-02-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,37,,E01015287
BH1 1AU,Yes,50.720967,-1.877285,408759,91267,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2015-10-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,23,,E01015283
BH1 1BA,Yes,50.720375,-1.878434,408678,91201,SZ086912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",29,14,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,18,,E01015283
BH1 1BB,Yes,50.720455,-1.878108,408701,91210,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",1,1,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,20,,E01015283
BH1 1BL,Yes,50.720663,-1.878929,408643,91233,SZ086912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2016-06-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,19,,E01015283
BH1 1BN,Yes,50.720663,-1.878929,408643,91233,SZ086912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",3,1,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,19,,E01015283
BH1 1BZ,Yes,50.721093,-1.877596,408737,91281,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",17,9,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,24,,E01015283
BH1 1DA,Yes,50.721273,-1.877553,408740,91301,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",13,5,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,26,,E01015283
BH1 1DF,Yes,50.721362,-1.877029,408777,91311,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,26,,E01015283
BH1 1DJ,Yes,50.721344,-1.876916,408785,91309,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",8,5,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,25,,E01015283
BH1 1DL,Yes,50.72156,-1.877227,408763,91333,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2004-06-01,,"","",13,8,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1DP,Yes,50.721596,-1.876646,408804,91337,SZ088913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",6,4,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1DR,Yes,50.720222,-1.878477,408675,91184,SZ086911,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,17,,E01015283
BH1 1DS,Yes,50.720446,-1.87764,408734,91209,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",8,3,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,21,,E01015283
BH1 1DT,Yes,50.720976,-1.876959,408782,91268,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,23,,E01015283
BH1 1DU,Yes,50.720321,-1.879015,408637,91195,SZ086911,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,17,,E01015283
BH1 1DW,Yes,50.721686,-1.876731,408798,91347,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",47,39,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1DY,Yes,50.720276,-1.878689,408660,91190,SZ086911,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,17,,E01015283
BH1 1ED,Yes,50.720652,-1.877371,408753,91232,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2000-06-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,22,,E01015283
BH1 1EG,Yes,50.720913,-1.877115,408771,91261,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,23,,E01015283
BH1 1EH,Yes,50.721066,-1.876987,408780,91278,SZ087912,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1987-04-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,24,,E01015283
BH1 1EN,Yes,50.721847,-1.875951,408853,91365,SZ088913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1EP,Yes,50.722134,-1.8751,408913,91397,SZ089913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",95,42,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1ER,Yes,50.727912,-1.863623,409722,92041,SZ097920,"Dorset","Bournemouth","East Cliff and Springbourne", E06000028,E05002116,England,E10000009,"Bournemouth East",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021B","Urban city and town",South West,36,,E01015288
BH1 1EW,Yes,50.72156,-1.876391,408822,91333,SZ088913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",6,4,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,26,,E01015283
BH1 1EY,Yes,50.722071,-1.875285,408900,91390,SZ089913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1EZ,Yes,50.721829,-1.875979,408851,91363,SZ088913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1998-12-01,,"","",28,15,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1HF,Yes,50.722502,-1.874589,408949,91438,SZ089914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,27,,E01015283
BH1 1HL,Yes,50.723141,-1.874899,408927,91509,SZ089915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,31,,E01015283
BH1 1HP,Yes,50.723258,-1.875366,408894,91522,SZ088915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1991-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,33,,E01015283
BH1 1HT,Yes,50.725821,-1.875034,408917,91807,SZ089918,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2003-01-01,,"","",13,7,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,40,,E01015287
BH1 1HU,Yes,50.724787,-1.875915,408855,91692,SZ088916,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",79,49,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,38,,E01015287
BH1 1HX,Yes,50.726062,-1.874013,408989,91834,SZ089918,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",85,46,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,42,,E01015287
BH1 1HY,Yes,50.724702,-1.872175,409119,91683,SZ091916,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",108,70,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,39,,E01015287
BH1 1HZ,Yes,50.726637,-1.873034,409058,91898,SZ090918,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017C","Urban city and town",South West,40,,E01015286
BH1 1JA,Yes,50.725278,-1.872343,409107,91747,SZ091917,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",55,32,"Bournemouth/Poole","Bournemouth","Bournemouth 017D","Urban city and town",South West,42,,E01015287
BH1 1JB,Yes,50.726962,-1.87462,408946,91934,SZ089919,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",59,45,"Bournemouth/Poole","Bournemouth","Bournemouth 017C","Urban city and town",South West,41,,E01015286
BH1 1JD,Yes,50.723224,-1.876797,408793,91518,SZ087915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,37,,E01015283
BH1 1JE,Yes,50.722118,-1.877254,408761,91395,SZ087913,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1992-01-01,,"","",32,16,"Bournemouth/Poole","Bournemouth","Bournemouth 017A","Urban city and town",South West,33,,E01015283
BH1 1JH,Yes,50.723116,-1.868893,409351,91507,SZ093915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",57,31,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,35,,E01015285
BH1 1JJ,Yes,50.722677,-1.87048,409239,91458,SZ092914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,31,,E01015285
BH1 1JL,Yes,50.722892,-1.869332,409320,91482,SZ093914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",98,64,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,33,,E01015285
BH1 1JN,Yes,50.722867,-1.871188,409189,91479,SZ091914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",68,42,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,32,,E01015285
BH1 1JP,Yes,50.723136,-1.870224,409257,91509,SZ092915,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",2008-06-01,,"","",36,16,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,34,,E01015285
BH1 1JR,Yes,50.722425,-1.870311,409251,91430,SZ092914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",22,10,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,30,,E01015285
BH1 1JU,Yes,50.722407,-1.870056,409269,91428,SZ092914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",14,8,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,30,,E01015285
BH1 1JW,Yes,50.722211,-1.871544,409164,91406,SZ091914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1992-08-01,,"","",,,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,28,,E01015285
BH1 1JZ,Yes,50.722369,-1.867931,409419,91424,SZ094914,"Dorset","Bournemouth","Central", E06000028,E05002115,England,E10000009,"Bournemouth West",1980-01-01,,"","",28,15,"Bournemouth/Poole","Bournemouth","Bournemouth 021A","Urban city and town",South West,35,,E01015285
