Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CA1 1AA,Yes,54.890564,-2.943792,339560,555499,NY395554,"Cumbria","Carlisle","Denton Holme", E07000028,E05003166,England,E10000006,"Carlisle",1991-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 008C","Urban city and town",North West,20,,E01019215
CA1 1AB,Yes,54.892409,-2.931767,340334,555694,NY403556,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",2014-10-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1AE,Yes,54.893703,-2.930659,340407,555837,NY404558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1992-08-01,,"","",26,21,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1AF,Yes,54.893922,-2.931381,340361,555862,NY403558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",2010-04-01,,"","",9,6,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,27,,E01019206
CA1 1BA,Yes,54.893536,-2.930094,340443,555818,NY404558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",3,2,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1BB,Yes,54.893899,-2.929743,340466,555858,NY404558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",22,12,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1BE,Yes,54.894819,-2.930435,340423,555961,NY404559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",51,24,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1BG,Yes,54.894796,-2.931089,340381,555959,NY403559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",4,2,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1BJ,Yes,54.894351,-2.931703,340341,555910,NY403559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",12,6,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,27,,E01019206
CA1 1BP,Yes,54.894885,-2.931154,340377,555969,NY403559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1BZ,Yes,54.893894,-2.932721,340275,555860,NY402558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1997-06-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1DB,Yes,54.893884,-2.931708,340340,555858,NY403558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1DE,Yes,54.893561,-2.928005,340577,555819,NY405558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1DG,Yes,54.893703,-2.930659,340407,555837,NY404558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1990-07-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1DH,Yes,54.892891,-2.93223,340305,555748,NY403557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1985-10-01,,"","",1,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1DJ,Yes,54.893436,-2.931526,340351,555808,NY403558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1992-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,27,,E01019206
CA1 1DN,Yes,54.892709,-2.931384,340359,555727,NY403557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",1,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,27,,E01019206
CA1 1DP,Yes,54.893154,-2.931862,340329,555777,NY403557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",3,3,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1DQ,Yes,54.893179,-2.932221,340306,555780,NY403557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",2,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,28,,E01019206
CA1 1DR,Yes,54.89306,-2.930176,340437,555765,NY404557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",6,3,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,25,,E01019206
CA1 1DU,Yes,54.893302,-2.929044,340510,555791,NY405557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1DZ,Yes,54.893561,-2.928005,340577,555819,NY405558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1EA,Yes,54.894205,-2.927334,340621,555890,NY406558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",13,3,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1EB,Yes,54.893863,-2.928542,340543,555853,NY405558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",40,16,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1ED,Yes,54.893218,-2.929369,340489,555782,NY404557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1EE,Yes,54.893318,-2.930416,340422,555794,NY404557,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",2,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1EJ,Yes,54.895038,-2.932358,340300,555987,NY403559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",2,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1EL,Yes,54.893645,-2.927633,340601,555828,NY406558,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",2006-09-01,,"","",13,6,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,24,,E01019206
CA1 1ER,Yes,54.89539,-2.932117,340316,556026,NY403560,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",1,1,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1ES,Yes,54.895351,-2.93249,340292,556022,NY402560,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1EW,Yes,54.895067,-2.932109,340316,555990,NY403559,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1995-07-01,,"","",,,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,26,,E01019206
CA1 1EX,Yes,54.895619,-2.930422,340425,556050,NY404560,"Cumbria","Carlisle","Castle", E07000028,E05003163,England,E10000006,"Carlisle",1980-01-01,,"","",11,0,"Carlisle","Carlisle","Carlisle 006B","Urban city and town",North West,23,,E01019206
