Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CR0 0AA,Yes,51.34034,-0.005061,539052,162028,TQ390620,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",83,28,"New Addington","","Croydon 036B","Urban major conurbation",London,156,3,E01001079
CR0 0AB,Yes,51.337592,-0.002108,539266,161728,TQ392617,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",87,35,"New Addington","","Croydon 036D","Urban major conurbation",London,159,3,E01001081
CR0 0AD,Yes,51.335321,-0.001331,539327,161477,TQ393614,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",29,14,"New Addington","","Croydon 036B","Urban major conurbation",London,163,3,E01001079
CR0 0AE,Yes,51.340782,-0.004597,539083,162078,TQ390620,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",66,22,"New Addington","","Croydon 036B","Urban major conurbation",London,157,3,E01001079
CR0 0AF,Yes,51.338315,-0.001272,539322,161810,TQ393618,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",82,30,"New Addington","","Croydon 036B","Urban major conurbation",London,161,3,E01001079
CR0 0AG,Yes,51.336585,-0.000572,539376,161619,TQ393616,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",97,48,"New Addington","","Croydon 036B","Urban major conurbation",London,161,3,E01001079
CR0 0AH,Yes,51.334557,-0.002383,539256,161390,TQ392613,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",43,17,"New Addington","","Croydon 036D","Urban major conurbation",London,165,3,E01001081
CR0 0AJ,Yes,51.334616,-5.5E-05,539418,161401,TQ394614,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",76,32,"New Addington","","Croydon 036B","Urban major conurbation",London,165,3,E01001079
CR0 0AL,Yes,51.334029,-0.005163,539064,161326,TQ390613,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",46,15,"New Addington","","Croydon 036D","Urban major conurbation",London,164,3,E01001081
CR0 0AN,Yes,51.334303,-0.009142,538786,161349,TQ387613,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",113,44,"New Addington","","Croydon 036D","Urban major conurbation",London,161,3,E01001081
CR0 0AP,Yes,51.33473,-0.011521,538619,161392,TQ386613,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",107,30,"New Addington","","Croydon 036D","Urban major conurbation",London,159,3,E01001081
CR0 0AQ,Yes,51.3349,-0.007781,538879,161418,TQ388614,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",51,14,"New Addington","","Croydon 036D","Urban major conurbation",London,161,3,E01001081
CR0 0AR,Yes,51.33431,-0.006371,538979,161355,TQ389613,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",47,14,"New Addington","","Croydon 036D","Urban major conurbation",London,163,3,E01001081
CR0 0AS,Yes,51.340025,-0.00239,539239,161998,TQ392619,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",98,35,"New Addington","","Croydon 036B","Urban major conurbation",London,159,3,E01001079
CR0 0AT,Yes,51.341203,-0.001879,539271,162130,TQ392621,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1983-07-01,,"","",39,15,"New Addington","","Croydon 036B","Urban major conurbation",London,159,3,E01001079
CR0 0AU,Yes,51.33478,-0.005963,539006,161408,TQ390614,"Greater London","Croydon","New Addington", E09000008,E05000157,England,E11000009,"Croydon Central",1980-01-01,,"","",26,7,"New Addington","","Croydon 036D","Urban major conurbation",London,162,3,E01001081
