Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CT1 1AA,Yes,51.284436,1.094448,615886,158470,TR158584,"Kent","Canterbury","Northgate", E07000106,E05010402,England,E10000016,"Canterbury",1990-02-01,,"","",,,"Canterbury","Canterbury","Canterbury 014D","Urban city and town",South East,19,,E01024092
CT1 1AD,Yes,51.292516,1.106884,616715,159405,TR167594,"Kent","Canterbury","Northgate", E07000106,E05010402,England,E10000016,"Canterbury",1991-01-01,,"","",,,"Canterbury","Canterbury","Canterbury 011A","Urban city and town",South East,7,,E01024091
CT1 1AF,Yes,51.283042,1.082493,615059,158280,TR150582,"Kent","Canterbury","Northgate", E07000106,E05010402,England,E10000016,"Canterbury",1997-06-01,,"","",10,5,"Canterbury","Canterbury","Canterbury 014E","Urban city and town",South East,10,,E01024093
CT1 1AG,Yes,51.280318,1.105917,616705,158046,TR167580,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-04-01,,"","",63,17,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,52,,E01024047
CT1 1AH,Yes,51.281438,1.106093,616712,158171,TR167581,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-04-01,,"","",31,9,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,50,,E01024047
CT1 1AJ,Yes,51.281601,1.106377,616731,158190,TR167581,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-04-01,,"","",37,9,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,50,,E01024047
CT1 1AL,Yes,51.282212,1.107752,616824,158262,TR168582,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",106,30,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,49,,E01024047
CT1 1AN,Yes,51.281716,1.107446,616805,158206,TR168582,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",46,13,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,50,,E01024047
CT1 1AP,Yes,51.276503,1.087605,615446,157568,TR154575,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",2002-06-01,,"","",13,4,"Canterbury","Canterbury","Canterbury 016A","Urban city and town",South East,19,,E01024044
CT1 1AQ,Yes,51.2807,1.105398,616667,158087,TR166580,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",41,12,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,52,,E01024047
CT1 1AR,Yes,51.280435,1.106915,616774,158062,TR167580,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",47,14,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,53,,E01024047
CT1 1AS,Yes,51.280279,1.109056,616924,158051,TR169580,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",50,14,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,53,,E01024047
CT1 1AT,Yes,51.280866,1.10898,616916,158116,TR169581,"Kent","Canterbury","Barton", E07000106,E05010391,England,E10000016,"Canterbury",1986-07-01,,"","",62,20,"Canterbury","Canterbury","Canterbury 014A","Urban city and town",South East,53,,E01024047
