Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DG1 1AA,Yes,55.069713,-3.609593,297315,576211,NX973762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1AG,Yes,55.186606,-3.598958,298292,589202,NX982892,"","Dumfries and Galloway","Mid and Upper Nithsdale", S12000006,S13002539,Scotland,S99999999,"Dumfries and Galloway",2006-07-01,,"","",12,4,"","","Mid Nithsdale - 03","Accessible rural area",,142,,S01007566
DG1 1BA,Yes,55.069706,-3.609436,297325,576210,NX973762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",2,1,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BD,Yes,55.069344,-3.609641,297311,576170,NX973761,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",14,7,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BF,Yes,55.069442,-3.610444,297260,576182,NX972761,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1997-12-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BG,Yes,55.069769,-3.610801,297238,576219,NX972762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",7,4,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BH,Yes,55.070121,-3.611395,297201,576259,NX972762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",3,2,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BJ,Yes,55.07001,-3.612957,297101,576249,NX971762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",,,"","","Dumfries Central - 04","Other urban area",,19,,S01007612
DG1 1BL,Yes,55.069462,-3.610961,297227,576185,NX972761,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",0,0,"","","Dumfries Central - 04","Other urban area",,21,,S01007612
DG1 1BS,Yes,55.070403,-3.611782,297177,576291,NX971762,"","Dumfries and Galloway","Nith", S12000006,S13002541,Scotland,S99999999,"Dumfries and Galloway",1980-01-01,,"","",9,6,"","","Dumfries Central - 04","Other urban area",,20,,S01007612
