Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DH1 1AB,Yes,54.786661,-1.530113,430316,543630,NZ303436,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",17,8,"Durham","","County Durham 028B","Urban city and town",North East,90,,E01020683
DH1 1AD,Yes,54.786729,-1.531325,430238,543637,NZ302436,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",63,27,"Durham","","County Durham 028B","Urban city and town",North East,88,,E01020683
DH1 1AE,Yes,54.787152,-1.531616,430219,543684,NZ302436,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",26,11,"Durham","","County Durham 028B","Urban city and town",North East,86,,E01020683
DH1 1AF,Yes,54.790101,-1.5297,430340,544013,NZ303440,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",115,51,"Durham","","County Durham 028C","Urban city and town",North East,78,,E01020690
DH1 1AG,Yes,54.788871,-1.529979,430323,543876,NZ303438,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",9,6,"Durham","","County Durham 028D","Urban city and town",North East,81,,E01020691
DH1 1AH,Yes,54.79125,-1.527012,430512,544142,NZ305441,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",110,46,"Durham","","County Durham 028C","Urban city and town",North East,75,,E01020690
DH1 1AJ,Yes,54.792317,-1.526409,430550,544261,NZ305442,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",1,1,"Durham","","County Durham 028C","Urban city and town",North East,74,,E01020690
DH1 1AL,Yes,54.789335,-1.529056,430382,543928,NZ303439,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",98,44,"Durham","","County Durham 028D","Urban city and town",North East,80,,E01020691
DH1 1AN,Yes,54.789941,-1.527852,430459,543996,NZ304439,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",23,10,"Durham","","County Durham 028C","Urban city and town",North East,78,,E01020690
DH1 1AP,Yes,54.787524,-1.530181,430311,543726,NZ303437,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",34,16,"Durham","","County Durham 028D","Urban city and town",North East,85,,E01020691
DH1 1AQ,Yes,54.791372,-1.52827,430431,544155,NZ304441,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",85,35,"Durham","","County Durham 028C","Urban city and town",North East,76,,E01020690
DH1 1AR,Yes,54.787323,-1.529359,430364,543704,NZ303437,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",,,"Durham","","County Durham 028D","Urban city and town",North East,85,,E01020691
DH1 1AS,Yes,54.788774,-1.528067,430446,543866,NZ304438,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",82,41,"Durham","","County Durham 028D","Urban city and town",North East,81,,E01020691
DH1 1AT,Yes,54.790698,-1.526054,430574,544081,NZ305440,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",86,37,"Durham","","County Durham 028D","Urban city and town",North East,77,,E01020691
DH1 1AU,Yes,54.792395,-1.525661,430598,544270,NZ305442,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",,,"Durham","","County Durham 028C","Urban city and town",North East,74,,E01020690
DH1 1AW,Yes,54.787991,-1.53002,430321,543778,NZ303437,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",39,18,"Durham","","County Durham 028D","Urban city and town",North East,83,,E01020691
DH1 1AY,Yes,54.792569,-1.524259,430688,544290,NZ306442,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",2,1,"Durham","","County Durham 028C","Urban city and town",North East,74,,E01020690
DH1 1AZ,Yes,54.79287,-1.52522,430626,544323,NZ306443,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",70,32,"Durham","","County Durham 028C","Urban city and town",North East,73,,E01020690
DH1 1BA,Yes,54.793207,-1.524205,430691,544361,NZ306443,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",44,21,"Durham","","County Durham 028C","Urban city and town",North East,72,,E01020690
DH1 1BB,Yes,54.792689,-1.527135,430503,544302,NZ305443,"County Durham","County Durham","Belmont", E06000047,E05009036,England,E11000007,"City of Durham",1980-01-01,,"Belmont","",24,10,"Durham","","County Durham 028C","Urban city and town",North East,73,,E01020690
