Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DT1 1AA,Yes,50.715284,-2.444282,368730,90722,SY687907,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1990-02-01,,"Dorchester","",,,"Dorchester (West Dorset)","","West Dorset 009G","Urban city and town",South West,79,,E01032643
DT1 1AB,Yes,50.71503,-2.428075,369874,90687,SY698906,"Dorset","West Dorset","Dorchester East", E07000052,E05010589,England,E10000009,"West Dorset",2004-09-01,,"Dorchester","",16,7,"Dorchester (West Dorset)","","West Dorset 010A","Urban city and town",South West,58,,E01020518
DT1 1AD,Yes,50.711687,-2.436954,369245,90319,SY692903,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1991-09-01,,"Dorchester","",59,54,"Dorchester (West Dorset)","","West Dorset 009I","Urban city and town",South West,67,,E01032645
DT1 1AE,Yes,50.713306,-2.439362,369076,90500,SY690905,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2002-06-01,,"Dorchester","",9,8,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,70,,E01032644
DT1 1AF,Yes,50.713019,-2.439133,369092,90468,SY690904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2002-06-01,,"Dorchester","",16,14,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,68,,E01032644
DT1 1AG,Yes,50.712487,-2.439454,369069,90409,SY690904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2005-08-01,,"Dorchester","",52,39,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,69,,E01032644
DT1 1AH,Yes,50.715816,-2.446227,368593,90782,SY685907,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2008-08-01,,"Dorchester","",99,54,"Dorchester (West Dorset)","","West Dorset 009G","Urban city and town",South West,78,,E01032643
DT1 1AL,Yes,50.712559,-2.425079,370084,90411,SY700904,"Dorset","West Dorset","Dorchester East", E07000052,E05010589,England,E10000009,"West Dorset",2006-10-01,,"Dorchester","",9,5,"Dorchester (West Dorset)","","West Dorset 010A","Urban city and town",South West,56,,E01020518
DT1 1AN,Yes,50.711509,-2.426882,369956,90295,SY699902,"Dorset","West Dorset","Dorchester East", E07000052,E05010589,England,E10000009,"West Dorset",1986-04-01,,"Dorchester","",19,14,"Dorchester (West Dorset)","","West Dorset 010C","Urban city and town",South West,57,,E01020520
DT1 1AP,Yes,50.713268,-2.437549,369204,90495,SY692904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2008-02-01,,"Dorchester","",17,10,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,68,,E01032644
DT1 1AQ,Yes,50.712927,-2.439741,369049,90458,SY690904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",2004-11-01,,"Dorchester","",40,0,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,68,,E01032644
DT1 1AS,Yes,50.710599,-2.432241,369577,90196,SY695901,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1985-04-01,,"Dorchester","",40,32,"Dorchester (West Dorset)","","West Dorset 009I","Urban city and town",South West,70,,E01032645
DT1 1AT,Yes,50.714798,-2.429787,369753,90662,SY697906,"Dorset","West Dorset","Dorchester East", E07000052,E05010589,England,E10000009,"West Dorset",1985-04-01,,"Dorchester","",18,13,"Dorchester (West Dorset)","","West Dorset 010A","Urban city and town",South West,63,,E01020518
DT1 1AW,Yes,50.71244,-2.440105,369023,90404,SY690904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1986-04-01,,"Dorchester","",24,19,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,69,,E01032644
DT1 1AY,Yes,50.71284,-2.434174,369442,90446,SY694904,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1983-07-01,,"Dorchester","",73,65,"Dorchester (West Dorset)","","West Dorset 009I","Urban city and town",South West,67,,E01032645
DT1 1AZ,Yes,50.714242,-2.436694,369265,90603,SY692906,"Dorset","West Dorset","Dorchester North", E07000052,E05010590,England,E10000009,"West Dorset",1980-01-01,,"Dorchester","",,,"Dorchester (West Dorset)","","West Dorset 009H","Urban city and town",South West,69,,E01032644
