Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
FY0 1YS,Yes,53.754519,-3.007827,333646,429155,SD336291,"Lancashire","Fylde","Heyhouses", E07000119,E05005193,England,E10000017,"Fylde",1987-04-01,,"Saint Anne's on the Sea","",,,"Blackpool","Lytham St Anne's","Fylde 005B","Urban city and town",North West,7,,E01025002
FY1 1AD,Yes,53.818787,-3.051673,330861,436347,SD308363,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",2012-05-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,21,,E01012737
FY1 1AN,Yes,53.821247,-3.054013,330711,436623,SD307366,"Lancashire","Blackpool","Claremont", E06000009,E05001647,England,E10000017,"Blackpool North and Cleveleys",2006-08-01,,"","",4,1,"Blackpool","Blackpool","Blackpool 006A","Urban city and town",North West,19,,E01012681
FY1 1AP,Yes,53.817325,-3.056391,330548,436189,SD305361,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",2011-12-01,,"","",,,"Blackpool","Blackpool","Blackpool 010D","Urban city and town",North West,13,,E01012736
FY1 1BA,Yes,53.81935,-3.051003,330906,436409,SD309364,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",1,1,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,22,,E01012737
FY1 1BB,Yes,53.818787,-3.051673,330861,436347,SD308363,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1993-08-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,21,,E01012737
FY1 1BH,Yes,53.818725,-3.050517,330937,436339,SD309363,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,22,,E01012737
FY1 1BN,Yes,53.819442,-3.051872,330849,436420,SD308364,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",1,1,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,21,,E01012737
FY1 1BP,Yes,53.818351,-3.050158,330960,436297,SD309362,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",5,1,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,22,,E01012737
FY1 1DA,Yes,53.819001,-3.051921,330845,436371,SD308363,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,20,,E01012737
FY1 1DE,Yes,53.818449,-3.051285,330886,436309,SD308363,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,21,,E01012737
FY1 1DG,Yes,53.818323,-3.052269,330821,436296,SD308362,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",2,2,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,20,,E01012737
FY1 1DH,Yes,53.819263,-3.052703,330794,436401,SD307364,"Lancashire","Blackpool","Talbot", E06000009,E05001659,England,E10000017,"Blackpool South",1980-01-01,,"","",,,"Blackpool","Blackpool","Blackpool 010E","Urban city and town",North West,19,,E01012737
