Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HG1 1AA,Yes,53.99366,-1.541446,430161,455388,SE301553,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1990-02-01,,"","",,,"Harrogate","Harrogate","Harrogate 019B","Urban city and town",Yorkshire and The Humber,120,,E01027679
HG1 1AB,Yes,53.994959,-1.540486,430223,455533,SE302555,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",2012-02-01,,"","",,,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,115,,E01027678
HG1 1AE,Yes,53.993012,-1.538891,430329,455317,SE303553,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1993-01-01,,"","",,,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,126,,E01027678
HG1 1AF,Yes,53.993012,-1.538891,430329,455317,SE303553,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1993-01-01,,"","",,,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,126,,E01027678
HG1 1AG,Yes,53.993012,-1.538891,430329,455317,SE303553,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1993-01-01,,"","",,,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,126,,E01027678
HG1 1AH,Yes,53.993599,-1.542088,430119,455381,SE301553,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",2012-09-01,,"","",,,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,119,,E01027678
HG1 1AX,Yes,53.995529,-1.539107,430313,455597,SE303555,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",2003-09-01,,"","",27,16,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,114,,E01027678
HG1 1BA,Yes,53.995544,-1.538329,430364,455599,SE303555,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1980-01-01,,"","",7,4,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,115,,E01027678
HG1 1BB,Yes,53.995824,-1.538753,430336,455630,SE303556,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1980-01-01,,"","",16,8,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,113,,E01027678
HG1 1BE,Yes,53.995785,-1.537808,430398,455626,SE303556,"North Yorkshire","Harrogate","Low Harrogate", E07000165,E05006251,England,E10000023,"Harrogate and Knaresborough",1980-01-01,,"","",27,18,"Harrogate","Harrogate","Harrogate 015E","Urban city and town",Yorkshire and The Humber,114,,E01027678
