Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HP1 1AB,Yes,51.749772,-0.48828,504455,206756,TL044067,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2002-06-01,,"","",10,5,"Greater London","Hemel Hempstead","Dacorum 018C","Urban major conurbation",East of England,114,,E01023379
HP1 1AE,Yes,51.757385,-0.476218,505270,207620,TL052076,"Hertfordshire","Dacorum","Gadebridge", E07000096,E05004703,England,E10000015,"Hemel Hempstead",2003-11-01,,"","",30,12,"Greater London","Hemel Hempstead","Dacorum 010B","Urban major conurbation",East of England,92,,E01023391
HP1 1AF,Yes,51.744751,-0.489346,504393,206196,TL043061,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2004-04-01,,"","",17,7,"Greater London","Hemel Hempstead","Dacorum 018C","Urban major conurbation",East of England,87,,E01023379
HP1 1AG,Yes,51.750012,-0.475524,505335,206801,TL053068,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2012-06-01,,"","",,,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,91,,E01023398
HP1 1AH,Yes,51.75025,-0.477935,505168,206824,TL051068,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2004-10-01,,"","",27,15,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,105,,E01023398
HP1 1AJ,Yes,51.746695,-0.474883,505387,206433,TL053064,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2010-11-01,,"","",1,1,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,89,,E01023398
HP1 1AL,Yes,51.746304,-0.474534,505412,206390,TL054063,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2010-11-01,,"","",36,17,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,88,,E01023398
HP1 1AN,Yes,51.747097,-0.47539,505351,206477,TL053064,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2009-09-01,,"","",47,29,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,90,,E01023398
HP1 1AP,Yes,51.746639,-0.475406,505351,206426,TL053064,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2010-03-01,,"","",34,19,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,90,,E01023398
HP1 1AQ,Yes,51.746279,-0.475389,505353,206386,TL053063,"Hertfordshire","Dacorum","Boxmoor", E07000096,E05004701,England,E10000015,"Hemel Hempstead",2010-04-01,,"","",41,25,"Greater London","Hemel Hempstead","Dacorum 015D","Urban major conurbation",East of England,90,,E01023398
