Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
IG1 1AG,Yes,51.557647,0.072368,543761,186342,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1995-12-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,15,4,E01003689
IG1 1AR,Yes,51.559704,0.07151,543695,186569,TQ436865,"Greater London","Redbridge","Valentines", E09000026,E05000514,England,E11000009,"Ilford South",1991-09-01,,"","",,,"Greater London","Redbridge","Redbridge 029A","Urban major conurbation",London,22,4,E01003783
IG1 1AS,Yes,51.559672,0.072302,543750,186567,TQ437865,"Greater London","Redbridge","Valentines", E09000026,E05000514,England,E11000009,"Ilford South",1991-09-01,,"","",,,"Greater London","Redbridge","Redbridge 029A","Urban major conurbation",London,23,4,E01003783
IG1 1AT,Yes,51.559672,0.072302,543750,186567,TQ437865,"Greater London","Redbridge","Valentines", E09000026,E05000514,England,E11000009,"Ilford South",1991-09-01,,"","",,,"Greater London","Redbridge","Redbridge 029A","Urban major conurbation",London,23,4,E01003783
IG1 1AZ,Yes,51.55807,0.072373,543760,186389,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",2016-02-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,16,4,E01003689
IG1 1BA,Yes,51.557885,0.071643,543710,186367,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",2,1,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,16,4,E01003689
IG1 1BD,Yes,51.557686,0.071735,543717,186345,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,16,4,E01003689
IG1 1BE,Yes,51.55912,0.075551,543977,186512,TQ439865,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1984-02-01,,"","",102,31,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,18,4,E01003689
IG1 1BF,Yes,51.561204,0.085313,544647,186763,TQ446867,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",2009-03-01,,"","",,,"Greater London","Redbridge","Redbridge 030H","Urban major conurbation",London,12,4,E01033589
IG1 1BH,Yes,51.557873,0.072335,543758,186367,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,16,4,E01003689
IG1 1BN,Yes,51.558428,0.071942,543729,186428,TQ437864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",4,2,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,19,4,E01003689
IG1 1BP,Yes,51.557575,0.073909,543868,186337,TQ438863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",2002-07-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,13,4,E01003689
IG1 1BT,Yes,51.558676,0.075214,543955,186462,TQ439864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1997-06-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,18,4,E01003689
IG1 1BU,Yes,51.558392,0.07145,543695,186423,TQ436864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1997-06-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,17,4,E01003689
IG1 1BX,Yes,51.558376,0.072372,543759,186423,TQ437864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,17,4,E01003689
IG1 1BY,Yes,51.558725,0.073456,543833,186464,TQ438864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,19,4,E01003689
IG1 1DA,Yes,51.558764,0.073833,543859,186469,TQ438864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,19,4,E01003689
IG1 1DD,Yes,51.55807,0.072373,543760,186389,TQ437863,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1995-12-01,,"","",,,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,16,4,E01003689
IG1 1DE,Yes,51.558855,0.071226,543678,186474,TQ436864,"Greater London","Redbridge","Clementswood", E09000026,E05000501,England,E11000009,"Ilford South",1980-01-01,,"","",26,9,"Greater London","Redbridge","Redbridge 030G","Urban major conurbation",London,19,4,E01003689
