Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
IV1 1AA,Yes,57.481338,-4.223951,266758,845637,NH667456,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,10,,S01010620
IV1 1AD,Yes,57.487278,-4.225931,266661,846302,NH666463,"","Highland","Inverness Millburn", S12000017,S13002678,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1992-07-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 01","Other urban area",,4,,S01010619
IV1 1AX,Yes,57.479409,-4.22632,266609,845427,NH666454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1995-12-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,14,,S01010620
IV1 1BA,Yes,57.480432,-4.229468,266424,845547,NH664455,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1999-06-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,8,,S01010620
IV1 1DA,Yes,57.479648,-4.226051,266626,845453,NH666454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",25,11,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,13,,S01010620
IV1 1DE,Yes,57.479416,-4.225419,266663,845426,NH666454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,14,,S01010620
IV1 1DF,Yes,57.479156,-4.225921,266632,845398,NH666453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",3,3,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,15,,S01010620
IV1 1DG,Yes,57.479066,-4.226416,266602,845389,NH666453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",24,18,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,15,,S01010620
IV1 1DH,Yes,57.479409,-4.22632,266609,845427,NH666454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,14,,S01010620
IV1 1DJ,Yes,57.479311,-4.226797,266580,845417,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,13,,S01010620
IV1 1DN,Yes,57.47959,-4.226781,266582,845448,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",20,8,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,13,,S01010620
IV1 1DP,Yes,57.471873,-4.226178,266590,844588,NH665445,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",,,"","","Inverness Crown and Haugh - 03","Other urban area",,11,,S01010627
IV1 1DR,Yes,57.478591,-4.22687,266573,845337,NH665453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",3,2,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,12,,S01010620
IV1 1DW,Yes,57.478863,-4.227237,266552,845368,NH665453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,11,,S01010620
IV1 1DX,Yes,57.478298,-4.226669,266584,845304,NH665453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1992-07-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,12,,S01010620
IV1 1DY,Yes,57.477904,-4.226111,266616,845259,NH666452,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,13,,S01010620
IV1 1EA,Yes,57.477951,-4.22543,266657,845263,NH666452,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,17,,S01010620
IV1 1EB,Yes,57.478198,-4.225695,266642,845291,NH666452,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,16,,S01010620
IV1 1ED,Yes,57.478198,-4.225695,266642,845291,NH666452,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1999-06-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,16,,S01010620
IV1 1EH,Yes,57.47893,-4.226491,266597,845374,NH665453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",9,5,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,15,,S01010620
IV1 1EJ,Yes,57.479311,-4.226797,266580,845417,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,13,,S01010620
IV1 1EN,Yes,57.479848,-4.227447,266543,845478,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",3,2,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,11,,S01010620
IV1 1EP,Yes,57.480224,-4.228004,266511,845521,NH665455,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",19,12,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,9,,S01010620
IV1 1ES,Yes,57.479381,-4.227919,266513,845427,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,9,,S01010620
IV1 1EU,Yes,57.479181,-4.22754,266535,845404,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,10,,S01010620
IV1 1EX,Yes,57.478771,-4.226364,266604,845356,NH666453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1998-12-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,14,,S01010620
IV1 1EY,Yes,57.480163,-4.228434,266485,845515,NH664455,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",3,1,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,9,,S01010620
IV1 1FB,Yes,57.494187,-4.213736,267417,847047,NH674470,"","Highland","Inverness Millburn", S12000017,S13002678,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1989-07-01,,"","",31,9,"","","Inverness Central, Raigmore and Longman - 01","Other urban area",,5,,S01010619
IV1 1FF,Yes,57.493591,-4.227667,266580,847008,NH665470,"","Highland","Inverness Millburn", S12000017,S13002678,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1996-12-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 01","Other urban area",,3,,S01010619
IV1 1FG,Yes,57.49553,-4.223747,266822,847216,NH668472,"","Highland","Inverness Millburn", S12000017,S13002678,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",2001-12-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 01","Other urban area",,1,,S01010619
IV1 1FJ,Yes,57.495071,-4.224803,266757,847167,NH667471,"","Highland","Inverness Millburn", S12000017,S13002678,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",2015-04-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 01","Other urban area",,3,,S01010619
IV1 1GJ,Yes,57.479409,-4.22632,266609,845427,NH666454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1997-12-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,10,,S01010620
IV1 1HB,Yes,57.479848,-4.227447,266543,845478,NH665454,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",5,3,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,11,,S01010620
IV1 1HD,Yes,57.477349,-4.226494,266591,845198,NH665451,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",19,13,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,12,,S01010620
IV1 1HG,Yes,57.47697,-4.226555,266586,845156,NH665451,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,12,,S01010620
IV1 1HN,Yes,57.478447,-4.223309,266786,845314,NH667453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,18,,S01010620
IV1 1HQ,Yes,57.477073,-4.226344,266599,845167,NH665451,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1980-01-01,,"","",,,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,14,,S01010620
IV1 1HS,Yes,57.478352,-4.22362,266767,845304,NH667453,"","Highland","Inverness Central", S12000017,S13002676,Scotland,S99999999,"Inverness, Nairn, Badenoch and Strathspey",1998-12-01,,"","",0,0,"","","Inverness Central, Raigmore and Longman - 02","Other urban area",,17,,S01010620
