Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
KY1 1AB,Yes,56.098852,-3.166243,327548,690176,NT275901,"","Fife","Burntisland, Kinghorn and Western Kirkcaldy", S12000015,S13002627,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",2006-10-01,,"","",94,40,"","","Linktown Central","Other urban area",,14,,S01009473
KY1 1AD,Yes,56.098706,-3.16738,327477,690161,NT274901,"","Fife","Burntisland, Kinghorn and Western Kirkcaldy", S12000015,S13002627,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",2007-11-01,,"","",90,48,"","","Linktown Central","Other urban area",,17,,S01009473
KY1 1AW,Yes,56.115945,-3.163013,327781,692075,NT277920,"","Fife","Kirkcaldy Central", S12000015,S13002629,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",2012-04-01,,"","",,,"","","Kirkcaldy Central North","Other urban area",,43,,S01009477
KY1 1BB,Yes,56.112701,-3.156354,328189,691707,NT281917,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1993-09-01,,"","",1,1,"","","Kirkcaldy Central and East","Other urban area",,16,,S01009478
KY1 1BD,Yes,56.115115,-3.155687,328235,691975,NT282919,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",35,23,"","","Kirkcaldy Central and East","Other urban area",,24,,S01009478
KY1 1BE,Yes,56.114445,-3.156294,328196,691901,NT281919,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",12,6,"","","Kirkcaldy Central North","Other urban area",,23,,S01009477
KY1 1BG,Yes,56.113072,-3.157041,328147,691749,NT281917,"","Fife","Kirkcaldy Central", S12000015,S13002629,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1995-12-01,,"","",36,24,"","","Kirkcaldy Central and East","Other urban area",,20,,S01009478
KY1 1BH,Yes,56.115872,-3.156481,328187,692060,NT281920,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",64,45,"","","Kirkcaldy Central and East","Other urban area",,29,,S01009478
KY1 1BJ,Yes,56.116058,-3.155811,328229,692080,NT282920,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",54,30,"","","Kirkcaldy Central and East","Other urban area",,29,,S01009478
KY1 1BL,Yes,56.116756,-3.15699,328157,692159,NT281921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",24,10,"","","Kirkcaldy Central and East","Other urban area",,33,,S01009478
KY1 1BN,Yes,56.117216,-3.157824,328106,692211,NT281922,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",20,10,"","","Kirkcaldy Central and East","Other urban area",,35,,S01009478
KY1 1BP,Yes,56.117464,-3.157221,328144,692238,NT281922,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",38,18,"","","Kirkcaldy Central and East","Other urban area",,35,,S01009478
KY1 1BS,Yes,56.116356,-3.158506,328062,692116,NT280921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",30,23,"","","Kirkcaldy Central and East","Other urban area",,35,,S01009478
KY1 1BT,Yes,56.117042,-3.158125,328087,692192,NT280921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",6,5,"","","Kirkcaldy Central and East","Other urban area",,35,,S01009478
KY1 1BU,Yes,56.116896,-3.15841,328069,692176,NT280921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",18,9,"","","Kirkcaldy Central and East","Other urban area",,36,,S01009478
KY1 1BX,Yes,56.116768,-3.159564,327997,692163,NT279921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",33,18,"","","Kirkcaldy Central and East","Other urban area",,38,,S01009478
KY1 1BZ,Yes,56.116685,-3.16072,327925,692155,NT279921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",2005-11-01,,"","",5,2,"","","Kirkcaldy Central North","Other urban area",,40,,S01009477
KY1 1DA,Yes,56.113398,-3.161602,327864,691790,NT278917,"","Fife","Kirkcaldy Central", S12000015,S13002629,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",17,7,"","","Kirkcaldy Central North","Other urban area",,29,,S01009477
KY1 1DB,Yes,56.11446,-3.163306,327760,691910,NT277919,"","Fife","Kirkcaldy Central", S12000015,S13002629,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",28,6,"","","Kirkcaldy Central","Other urban area",,40,,S01009479
KY1 1DG,Yes,56.116586,-3.161794,327858,692145,NT278921,"","Fife","Kirkcaldy East", S12000015,S13002630,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1998-12-01,,"","",29,26,"","","Kirkcaldy Central North","Other urban area",,41,,S01009477
KY1 1DH,Yes,56.115764,-3.162236,327829,692054,NT278920,"","Fife","Kirkcaldy Central", S12000015,S13002629,Scotland,S99999999,"Kirkcaldy and Cowdenbeath",1980-01-01,,"","",23,9,"","","Kirkcaldy Central North","Other urban area",,42,,S01009477
