Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
LD1 5AB,Yes,52.253038,-3.370489,306543,262536,SO065625,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2001-12-01,,"Llandrindod Wells","",,,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,202,,W01000455
LD1 5AD,Yes,52.246688,-3.376094,306147,261837,SO061618,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2007-07-01,,"Llandrindod Wells","",8,3,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,209,,W01000455
LD1 5AE,Yes,52.241929,-3.365475,306862,261294,SO068612,"","Powys","Llandrindod South", W06000023,W05000313,Wales,W99999999,"Brecon and Radnorshire",1994-12-01,,"Llandrindod Wells","",11,4,"Llandrindod Wells","","Powys 013C","Rural town and fringe in a sparse setting",,247,,W01000456
LD1 5AF,Yes,52.249735,-3.370754,306518,262169,SO065621,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2014-01-01,,"Llandrindod Wells","",,,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,217,,W01000455
LD1 5AL,Yes,52.228579,-3.383133,305628,259832,SO056598,"","Powys","Llandrindod South", W06000023,W05000313,Wales,W99999999,"Brecon and Radnorshire",1995-01-01,,"Llandrindod Wells","",63,22,"Llandrindod Wells","","Powys 013C","Rural village in a sparse setting",,230,,W01000456
LD1 5AP,Yes,52.241661,-3.378458,305975,261281,SO059612,"","Powys","Llandrindod East/Llandrindod West", W06000023,W05000311,Wales,W99999999,"Brecon and Radnorshire",2005-09-01,,"Llandrindod Wells","",,,"Llandrindod Wells","","Powys 013A","Rural town and fringe in a sparse setting",,216,,W01000454
LD1 5BA,Yes,52.250845,-3.372736,306385,262295,SO063622,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2005-01-01,,"Llandrindod Wells","",64,26,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,208,,W01000455
LD1 5BB,Yes,52.241805,-3.379224,305923,261298,SO059612,"","Powys","Llandrindod East/Llandrindod West", W06000023,W05000311,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",3,3,"Llandrindod Wells","","Powys 013A","Rural town and fringe in a sparse setting",,214,,W01000454
LD1 5BD,Yes,52.241197,-3.378209,305991,261229,SO059612,"","Powys","Llandrindod East/Llandrindod West", W06000023,W05000311,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",13,10,"Llandrindod Wells","","Powys 013A","Rural town and fringe in a sparse setting",,219,,W01000454
LD1 5BE,Yes,52.244331,-3.37772,306031,261577,SO060615,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",,,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,206,,W01000455
LD1 5BF,Yes,52.250816,-3.371373,306478,262290,SO064622,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2007-05-01,,"Llandrindod Wells","",72,30,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,211,,W01000455
LD1 5BG,Yes,52.248873,-3.376074,306153,262080,SO061620,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",19,6,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,201,,W01000455
LD1 5BH,Yes,52.249239,-3.375543,306190,262120,SO061621,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",70,33,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,203,,W01000455
LD1 5BJ,Yes,52.254695,-3.372518,306408,262723,SO064627,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1998-12-01,,"Llandrindod Wells","",9,5,"","","Powys 013B","Rural town and fringe in a sparse setting",,193,,W01000455
LD1 5BL,Yes,52.252647,-3.373949,306306,262497,SO063624,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",31,13,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,199,,W01000455
LD1 5BN,Yes,52.250724,-3.374622,306256,262284,SO062622,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",4,3,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,201,,W01000455
LD1 5BP,Yes,52.251921,-3.374498,306267,262417,SO062624,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",24,12,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,198,,W01000455
LD1 5BQ,Yes,52.247085,-3.375975,306156,261881,SO061618,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2001-06-01,,"Llandrindod Wells","",8,4,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,207,,W01000455
LD1 5BS,Yes,52.251552,-3.374531,306264,262376,SO062623,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",9,4,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,199,,W01000455
LD1 5BT,Yes,52.251308,-3.374626,306257,262349,SO062623,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",8,3,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,199,,W01000455
LD1 5BU,Yes,52.25109,-3.374824,306243,262325,SO062623,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",7,4,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,199,,W01000455
LD1 5BW,Yes,52.252687,-3.37439,306276,262502,SO062625,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",19,11,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,197,,W01000455
LD1 5BX,Yes,52.252178,-3.373261,306352,262444,SO063624,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2002-06-01,,"Llandrindod Wells","",61,28,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,202,,W01000455
LD1 5BY,Yes,52.250783,-3.374932,306235,262291,SO062622,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",17,5,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,200,,W01000455
LD1 5BZ,Yes,52.251911,-3.3723,306417,262413,SO064624,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2004-01-01,,"Llandrindod Wells","",47,21,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,204,,W01000455
LD1 5DA,Yes,52.249914,-3.375476,306196,262195,SO061621,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",16,8,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,200,,W01000455
LD1 5DB,Yes,52.249443,-3.375755,306176,262143,SO061621,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",10,7,"Llandrindod Wells","","Powys 013B","Rural town and fringe in a sparse setting",,200,,W01000455
LD1 5DD,Yes,52.269437,-3.303009,311182,264275,SO111642,"","Powys","Llanbadarn Fawr", W06000023,W05000308,Wales,W99999999,"Brecon and Radnorshire",1998-06-01,,"Penybont","",7,4,"","","Powys 012B","Rural hamlet and isolated dwellings in a sparse setting",,232,,W01000451
LD1 5DE,Yes,52.239735,-3.369391,306590,261055,SO065610,"","Powys","Llandrindod South", W06000023,W05000313,Wales,W99999999,"Brecon and Radnorshire",1995-01-01,,"Llandrindod Wells","",113,55,"Llandrindod Wells","","Powys 013C","Rural town and fringe in a sparse setting",,234,,W01000456
LD1 5DF,Yes,52.25203,-3.369755,306591,262423,SO065624,"","Powys","Llandrindod North", W06000023,W05000312,Wales,W99999999,"Brecon and Radnorshire",2012-02-01,,"Llandrindod Wells","",,,"","","Powys 013B","Rural town and fringe in a sparse setting",,210,,W01000455
LD1 5DG,Yes,52.240803,-3.378841,305947,261186,SO059611,"","Powys","Llandrindod East/Llandrindod West", W06000023,W05000311,Wales,W99999999,"Brecon and Radnorshire",1980-01-01,,"Llandrindod Wells","",18,8,"Llandrindod Wells","","Powys 013A","Rural town and fringe in a sparse setting",,218,,W01000454
