Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
LN1 1AB,Yes,53.245634,-0.558755,496270,373037,SK962730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2001-12-01,,"","",128,44,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,21,,E01026147
LN1 1AD,Yes,53.245821,-0.55635,496430,373061,SK964730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2001-12-01,,"","",101,48,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,26,,E01026147
LN1 1AE,Yes,53.245115,-0.555985,496456,372983,SK964729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2005-06-01,,"","",27,13,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,26,,E01026147
LN1 1AF,Yes,53.245394,-0.554521,496553,373016,SK965730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2005-06-01,,"","",25,12,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,33,,E01026147
LN1 1AG,Yes,53.244982,-0.55461,496548,372970,SK965729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2003-07-01,,"","",159,57,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,31,,E01026147
LN1 1AH,Yes,53.24517,-0.55381,496601,372992,SK966729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2005-12-01,,"","",29,8,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,35,,E01026147
LN1 1AJ,Yes,53.246032,-0.557437,496357,373083,SK963730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2002-06-01,,"","",22,8,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,25,,E01026147
LN1 1AL,Yes,53.246013,-0.556614,496412,373082,SK964730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2002-12-01,,"","",20,8,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,26,,E01026147
LN1 1AN,Yes,53.246567,-0.55631,496431,373144,SK964731,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2001-12-01,,"","",60,22,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,29,,E01026147
LN1 1AP,Yes,53.246877,-0.556,496451,373179,SK964731,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2003-10-01,,"","",25,9,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,32,,E01026147
LN1 1AQ,Yes,53.246772,-0.556963,496387,373166,SK963731,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2003-05-01,,"","",14,7,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,28,,E01026147
LN1 1AR,Yes,53.246617,-0.558257,496301,373147,SK963731,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2001-12-01,,"","",8,4,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,25,,E01026147
LN1 1AS,Yes,53.245242,-0.557524,496353,372995,SK963729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2002-06-01,,"","",6,2,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,22,,E01026147
LN1 1AT,Yes,53.245498,-0.559359,496230,373021,SK962730,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2004-08-01,,"","",56,18,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,19,,E01026147
LN1 1AU,Yes,53.245089,-0.558983,496256,372976,SK962729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2005-02-01,,"","",13,7,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,19,,E01026147
LN1 1AW,Yes,53.244972,-0.556799,496402,372966,SK964729,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2005-09-01,,"","",70,38,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,23,,E01026147
LN1 1AX,Yes,53.233392,-0.561099,496141,371672,SK961716,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2013-12-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1AY,Yes,53.232851,-0.560203,496202,371613,SK962716,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2012-11-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1AZ,Yes,53.232513,-0.559046,496280,371577,SK962715,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2011-11-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1BA,Yes,53.231055,-0.544832,497232,371434,SK972714,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2003-09-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,17,,E01026143
LN1 1BB,Yes,53.233727,-0.559814,496226,371711,SK962717,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2015-06-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1BD,Yes,53.232258,-0.558784,496298,371549,SK962715,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2011-08-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1BE,Yes,53.232355,-0.560834,496161,371557,SK961715,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2011-12-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,7,,E01026144
LN1 1BH,Yes,53.2332,-0.560835,496159,371651,SK961716,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2013-11-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,8,,E01026144
LN1 1BJ,Yes,53.234075,-0.550678,496835,371762,SK968717,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2014-11-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,17,,E01026143
LN1 1BL,Yes,53.234744,-0.554715,496564,371831,SK965718,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",2014-08-01,,"","",,,"Lincoln","Lincoln","Lincoln 003B","Urban city and town",East Midlands,12,,E01026144
LN1 1DB,Yes,53.230985,-0.543561,497317,371428,SK973714,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1980-01-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,19,,E01026143
LN1 1DD,Yes,53.230985,-0.543561,497317,371428,SK973714,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1980-01-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,19,,E01026143
LN1 1DE,Yes,53.230985,-0.543561,497317,371428,SK973714,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1980-01-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,19,,E01026143
LN1 1DG,Yes,53.241447,-0.55894,496267,372571,SK962725,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1996-06-01,,"","",54,22,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,12,,E01026147
LN1 1DN,Yes,53.230985,-0.543561,497317,371428,SK973714,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1997-06-01,,"","",,,"Lincoln","Lincoln","Lincoln 005B","Urban city and town",East Midlands,19,,E01026143
LN1 1DP,Yes,53.238452,-0.5499,496877,372250,SK968722,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1980-01-01,,"","",30,13,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,37,,E01026147
LN1 1DR,Yes,53.239461,-0.553747,496618,372357,SK966723,"Lincolnshire","Lincoln","Carholme", E07000138,E05010787,England,E10000019,"Lincoln",1980-01-01,,"","",28,10,"Lincoln","Lincoln","Lincoln 003C","Urban city and town",East Midlands,23,,E01026147
