Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
PH1 1AA,Yes,56.403115,-3.447358,310773,724369,NO107243,"","Perth and Kinross","Perth City North", S12000024,S13002748,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",,,"","","Muirton - 03","Other urban area",,12,,S01011933
PH1 1AB,Yes,56.375116,-3.600857,301228,721463,NO012214,"","Perth and Kinross","Almond and Earn", S12000024,S13002746,Scotland,S99999999,"Ochil and South Perthshire",2009-06-01,,"","",1,1,"","","Aberuthven and Almondbank - 02","Accessible rural area",,103,,S01011872
PH1 1BA,Yes,56.394582,-3.452429,310440,723426,NO104234,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",36,16,"","","Viewlands, Craigie and Wellshill - 07","Other urban area",,35,,S01011898
PH1 1BB,Yes,56.394,-3.4538,310354,723363,NO103233,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",29,15,"","","Viewlands, Craigie and Wellshill - 04","Other urban area",,42,,S01011895
PH1 1BD,Yes,56.39384,-3.455171,310269,723347,NO102233,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",49,20,"","","Viewlands, Craigie and Wellshill - 04","Other urban area",,51,,S01011895
PH1 1BE,Yes,56.390483,-3.452613,310419,722970,NO104229,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",2,1,"","","Viewlands, Craigie and Wellshill - 06","Other urban area",,47,,S01011897
PH1 1BG,Yes,56.387716,-3.456411,310178,722667,NO101226,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",6,4,"","","Burghmuir and Oakbank - 03","Other urban area",,48,,S01011901
PH1 1BH,Yes,56.392914,-3.452203,310450,723240,NO104232,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",15,7,"","","Viewlands, Craigie and Wellshill - 04","Other urban area",,38,,S01011895
PH1 1BJ,Yes,56.392911,-3.453953,310342,723242,NO103232,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1996-06-01,,"","",2,1,"","","Viewlands, Craigie and Wellshill - 04","Other urban area",,47,,S01011895
PH1 1BL,Yes,56.392569,-3.454005,310338,723204,NO103232,"","Perth and Kinross","Perth City South", S12000024,S13002747,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",41,5,"","","Viewlands, Craigie and Wellshill - 04","Other urban area",,48,,S01011895
