Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SN1 1AE,Yes,51.565236,-1.78332,415116,185173,SU151851,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",2009-09-01,,"","",44,25,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,102,,E01015476
SN1 1BA,Yes,51.562182,-1.785137,414991,184833,SU149848,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,104,,E01015476
SN1 1BB,Yes,51.561857,-1.784389,415043,184797,SU150847,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",1,1,"Swindon","Swindon","Swindon 019E","Urban city and town",South West,106,,E01032714
SN1 1BD,Yes,51.563443,-1.78656,414892,184973,SU148849,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",2006-07-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,103,,E01015476
SN1 1BE,Yes,51.563193,-1.787296,414841,184945,SU148849,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",2002-10-01,,"","",41,22,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,102,,E01015476
SN1 1BF,Yes,51.562621,-1.78401,415069,184882,SU150848,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1995-12-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,106,,E01015476
SN1 1BL,Yes,51.562212,-1.786825,414874,184836,SU148848,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",1,1,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,104,,E01015476
SN1 1BP,Yes,51.56222,-1.786161,414920,184837,SU149848,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,103,,E01015476
SN1 1BT,Yes,51.563293,-1.787888,414800,184956,SU148849,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",7,3,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,102,,E01015476
SN1 1BU,Yes,51.562905,-1.787125,414853,184913,SU148849,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1980-01-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,102,,E01015476
SN1 1BY,Yes,51.5656,-1.786059,414926,185213,SU149852,"Wiltshire","Swindon","Rodbourne Cheney", E06000030,E05008967,England,E11000020,"North Swindon",1986-04-01,,"","",,,"Swindon","Swindon","Swindon 012B","Urban city and town",South West,104,,E01015578
SN1 1DA,Yes,51.563957,-1.786961,414864,185030,SU148850,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",2001-12-01,,"","",,,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,103,,E01015476
SN1 1DG,Yes,51.564736,-1.785212,414985,185117,SU149851,"Wiltshire","Swindon","Central", E06000030,E05008954,England,E11000020,"South Swindon",1992-01-01,,"","",1,1,"Swindon","Swindon","Swindon 015B","Urban city and town",South West,104,,E01015476
