Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SR1 1AE,Yes,54.904978,-1.37654,440075,556873,NZ400568,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",2007-10-01,,"","",13,9,"Sunderland","Sunderland","Sunderland 016F","Urban major conurbation",North East,30,,E01008836
SR1 1BA,Yes,54.907203,-1.379188,439903,557119,NZ399571,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",24,18,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,36,,E01008703
SR1 1BB,Yes,54.907326,-1.382243,439707,557131,NZ397571,"Tyne and Wear","Sunderland","Millfield", E08000024,E05001161,England,E11000017,"Sunderland Central",1980-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,38,,E01008703
SR1 1BH,Yes,54.907011,-1.378551,439944,557098,NZ399570,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",2006-01-01,,"","",40,26,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,35,,E01008703
SR1 1BL,Yes,54.906797,-1.378944,439919,557074,NZ399570,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",2000-12-01,,"","",20,11,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,36,,E01008703
SR1 1BN,Yes,54.907224,-1.37978,439865,557121,NZ398571,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,38,,E01008703
SR1 1BU,Yes,54.906355,-1.378624,439940,557025,NZ399570,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",4,2,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,34,,E01008703
SR1 1BW,Yes,54.907224,-1.37978,439865,557121,NZ398571,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,38,,E01008703
SR1 1DH,Yes,54.905485,-1.378949,439920,556928,NZ399569,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,32,,E01008703
SR1 1DX,Yes,54.907335,-1.380496,439819,557133,NZ398571,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",2008-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,38,,E01008703
SR1 1EA,Yes,54.90718,-1.378206,439966,557117,NZ399571,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",38,19,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,33,,E01008703
SR1 1EB,Yes,54.918378,-1.420249,437260,558340,NZ372583,"Tyne and Wear","Sunderland","Southwick", E08000024,E05001172,England,E11000017,"Sunderland Central",2008-02-01,,"","",,,"Sunderland","Sunderland","Sunderland 005F","Urban major conurbation",North East,8,,E01008820
SR1 1ED,Yes,54.905913,-1.380034,439850,556975,NZ398569,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1997-06-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,36,,E01008703
SR1 1EE,Yes,54.905556,-1.377092,440039,556937,NZ400569,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",57,18,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,31,,E01008703
SR1 1EJ,Yes,54.906042,-1.375494,440141,556992,NZ401569,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",18,13,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,29,,E01008703
SR1 1EP,Yes,54.905613,-1.375797,440122,556944,NZ401569,"Tyne and Wear","Sunderland","Hendon", E08000024,E05001158,England,E11000017,"Sunderland Central",1980-01-01,,"","",,,"Sunderland","Sunderland","Sunderland 013B","Urban major conurbation",North East,30,,E01008703
