Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
TD1 1AA,Yes,55.617469,-2.80901,349144,636283,NT491362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1996-06-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,115,,S01012275
TD1 1AB,Yes,55.617574,-2.812172,348945,636297,NT489362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",2006-07-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,119,,S01012275
TD1 1BA,Yes,55.616817,-2.808298,349188,636210,NT491362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",38,21,"","","Galashiels - W - Old Town","Other urban area",,114,,S01012278
TD1 1BD,Yes,55.616065,-2.806632,349292,636125,NT492361,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",1,1,"","","Galashiels - W - Old Town","Other urban area",,114,,S01012278
TD1 1BE,Yes,55.617325,-2.808928,349149,636267,NT491362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,115,,S01012275
TD1 1BG,Yes,55.616086,-2.807442,349241,636128,NT492361,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",,,"","","Galashiels - W - Old Town","Other urban area",,115,,S01012278
TD1 1BH,Yes,55.616871,-2.80695,349273,636215,NT492362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1997-06-01,,"","",0,0,"","","Galashiels - N - Town Centre","Other urban area",,113,,S01012275
TD1 1BJ,Yes,55.617009,-2.807826,349218,636231,NT492362,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",8,2,"","","Galashiels - N - Town Centre","Other urban area",,114,,S01012275
TD1 1BL,Yes,55.616024,-2.805996,349332,636120,NT493361,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",,,"","","Galashiels - N - Town Centre","Other urban area",,113,,S01012275
TD1 1BN,Yes,55.616352,-2.806638,349292,636157,NT492361,"","Scottish Borders","Galashiels and District", S12000026,S13002763,Scotland,S99999999,"Berwickshire, Roxburgh and Selkirk",1980-01-01,,"","",36,23,"","","Galashiels - N - Town Centre","Other urban area",,113,,S01012275
