Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
TF1 1AA,Yes,52.699974,-2.519917,364963,311493,SJ649114,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1990-02-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,98,,E01014145
TF1 1AD,Yes,52.697153,-2.519514,364988,311179,SJ649111,"Shropshire","Telford and Wrekin","Ercall", E06000020,E05009976,England,E11000015,"The Wrekin",2015-04-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012A","Urban city and town",West Midlands,107,,E01014133
TF1 1AE,Yes,52.703138,-2.520014,364959,311845,SJ649118,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",2016-08-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,,,E01014145
TF1 1AF,Yes,52.702778,-2.520173,364948,311805,SJ649118,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",2016-09-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,,,E01014145
TF1 1AG,Yes,52.702349,-2.519635,364984,311757,SJ649117,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",2016-08-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,,,E01014145
TF1 1BA,Yes,52.699657,-2.520446,364927,311458,SJ649114,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1980-01-01,,"Wellington","",7,5,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,98,,E01014145
TF1 1BD,Yes,52.699996,-2.519074,365020,311495,SJ650114,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1980-01-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,99,,E01014145
TF1 1BE,Yes,52.700104,-2.519001,365025,311507,SJ650115,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1980-01-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,99,,E01014145
TF1 1BJ,Yes,52.700429,-2.518709,365045,311543,SJ650115,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1980-01-01,,"Wellington","",5,5,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,99,,E01014145
TF1 1BN,Yes,52.701266,-2.522448,364793,311638,SJ647116,"Shropshire","Telford and Wrekin","Haygate", E06000020,E05009978,England,E11000015,"The Wrekin",1996-06-01,,"Wellington","",,,"Telford","Telford","Telford and Wrekin 012D","Urban city and town",West Midlands,93,,E01014145
