Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
TW1 1AA,Yes,51.44996,-0.33113,516064,173651,TQ160736,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",2014-08-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1AE,Yes,51.456075,-0.338104,515564,174320,TQ155743,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1986-04-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,13,5,E01002672
TW1 1AF,Yes,51.464508,-0.321588,516690,175284,TQ166752,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",2009-04-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 007C","Urban major conurbation",London,10,4,E01003871
TW1 1AG,Yes,51.458293,-0.33919,515483,174565,TQ154745,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",93,58,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,12,5,E01002672
TW1 1AH,Yes,51.457587,-0.338236,515551,174488,TQ155744,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",62,38,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,12,5,E01002672
TW1 1AJ,Yes,51.457771,-0.336618,515663,174511,TQ156745,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",76,46,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,16,5,E01002672
TW1 1AL,Yes,51.45721,-0.337646,515593,174447,TQ155744,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",90,53,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,12,5,E01002672
TW1 1AN,Yes,51.457732,-0.338936,515502,174503,TQ155745,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",73,47,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,11,5,E01002672
TW1 1AP,Yes,51.457826,-0.340531,515391,174511,TQ153745,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1993-08-01,,"","",67,32,"Greater London","Richmond upon Thames","Hounslow 020D","Urban major conurbation",London,12,5,E01002672
TW1 1AQ,Yes,51.456075,-0.338104,515564,174320,TQ155743,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",2010-09-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,13,5,E01002672
TW1 1AR,Yes,51.463674,-0.323619,516551,175188,TQ165751,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",2012-08-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 007C","Urban major conurbation",London,9,4,E01003871
TW1 1AS,Yes,51.457219,-0.325641,516427,174467,TQ164744,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",2013-02-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 007A","Urban major conurbation",London,9,4,E01003866
TW1 1AU,Yes,51.455799,-0.337726,515591,174290,TQ155742,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",2014-09-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,13,5,E01002672
TW1 1AX,Yes,51.450036,-0.332106,515996,173658,TQ159736,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",2016-05-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,10,5,E01003870
TW1 1AZ,Yes,51.453225,-0.331875,516004,174013,TQ160740,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1988-03-01,,"","",21,9,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1BA,Yes,51.45287,-0.330923,516071,173975,TQ160739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1991-09-01,,"","",26,22,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1BD,Yes,51.450304,-0.330672,516095,173690,TQ160736,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",,,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,11,5,E01003869
TW1 1BH,Yes,51.451285,-0.333284,515911,173795,TQ159737,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",4,3,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BJ,Yes,51.451157,-0.332512,515965,173782,TQ159737,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",46,21,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BL,Yes,51.451052,-0.333307,515910,173769,TQ159737,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",24,16,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BN,Yes,51.451988,-0.33215,515988,173875,TQ159738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",105,35,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BP,Yes,51.452343,-0.331173,516055,173916,TQ160739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",7,5,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,11,5,E01003867
TW1 1BQ,Yes,51.456075,-0.338104,515564,174320,TQ155743,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1998-12-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,13,5,E01002672
TW1 1BS,Yes,51.452712,-0.334355,515833,173952,TQ158739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",130,40,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BT,Yes,51.452219,-0.33443,515829,173897,TQ158738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",30,12,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,13,5,E01003870
TW1 1BU,Yes,51.451928,-0.334239,515843,173865,TQ158738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",45,24,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BW,Yes,51.451348,-0.331986,516001,173804,TQ160738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",13,4,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1BX,Yes,51.452261,-0.332356,515973,173905,TQ159739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",73,24,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1BY,Yes,51.452588,-0.332603,515955,173941,TQ159739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",86,32,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1BZ,Yes,51.453323,-0.336232,515701,174017,TQ157740,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",78,32,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,12,5,E01003870
TW1 1DA,Yes,51.453879,-0.334845,515796,174081,TQ157740,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",55,23,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1DB,Yes,51.454784,-0.335244,515766,174181,TQ157741,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",50,18,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1DD,Yes,51.455136,-0.335979,515714,174219,TQ157742,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",160,62,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,11,5,E01003867
TW1 1DE,Yes,51.45497,-0.338188,515561,174197,TQ155741,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",21,8,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1DF,Yes,51.454352,-0.338368,515550,174128,TQ155741,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",35,9,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1DG,Yes,51.455905,-0.338801,515516,174300,TQ155743,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",28,19,"Greater London","Hounslow","Richmond upon Thames 011A","Urban major conurbation",London,16,5,E01003867
TW1 1DQ,Yes,51.456358,-0.336554,515671,174354,TQ156743,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1980-01-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,13,5,E01002672
TW1 1DX,Yes,51.456027,-0.338567,515532,174314,TQ155743,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1988-03-01,,"","",16,12,"Greater London","Hounslow","Richmond upon Thames 011A","Urban major conurbation",London,14,5,E01003867
TW1 1DZ,Yes,51.456379,-0.339259,515483,174352,TQ154743,"Greater London","Hounslow","Isleworth", E09000018,E05000362,England,E11000009,"Brentford and Isleworth",1987-04-01,,"","",,,"Greater London","Hounslow","Hounslow 020D","Urban major conurbation",London,19,5,E01002672
TW1 1EA,Yes,51.452881,-0.330434,516105,173977,TQ161739,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1985-10-01,,"","",75,42,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1EB,Yes,51.455186,-0.32809,516262,174237,TQ162742,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1981-09-01,,"","",4,2,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,11,4,E01003869
TW1 1EE,Yes,51.450996,-0.331942,516005,173765,TQ160737,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",9,6,"Greater London","Richmond upon Thames","Richmond upon Thames 011C","Urban major conurbation",London,13,5,E01003870
TW1 1EF,Yes,51.451632,-0.331098,516062,173837,TQ160738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",55,26,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1EG,Yes,51.451774,-0.330992,516069,173853,TQ160738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",14,10,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1EJ,Yes,51.454355,-0.330366,516106,174141,TQ161741,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",45,15,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,11,5,E01003869
TW1 1EL,Yes,51.453532,-0.33195,515998,174047,TQ159740,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",95,41,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
TW1 1EN,Yes,51.45445,-0.33196,515995,174149,TQ159741,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",119,58,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1EQ,Yes,51.452147,-0.330662,516091,173895,TQ160738,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",29,14,"Greater London","Richmond upon Thames","Richmond upon Thames 011B","Urban major conurbation",London,12,5,E01003869
TW1 1ER,Yes,51.455232,-0.332565,515951,174235,TQ159742,"Greater London","Richmond upon Thames","St Margarets and North Twickenham", E09000027,E05000527,England,E11000009,"Twickenham",1980-01-01,,"","",52,18,"Greater London","Richmond upon Thames","Richmond upon Thames 011A","Urban major conurbation",London,12,5,E01003867
