Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
UB1 1AP,Yes,51.516274,-0.384153,512217,180943,TQ122809,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",47,36,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1AS,Yes,51.516517,-0.383482,512263,180971,TQ122809,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",33,8,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1AT,Yes,51.515351,-0.383753,512247,180841,TQ122808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",84,23,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1AU,Yes,51.515493,-0.38555,512122,180854,TQ121808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",52,22,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1AW,Yes,51.515121,-0.383978,512232,180815,TQ122808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",35,10,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1AX,Yes,51.515256,-0.385962,512094,180827,TQ120808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",80,28,"Greater London","Ealing","Ealing 026D","Urban major conurbation",London,31,4,E01001363
UB1 1AY,Yes,51.51536,-0.383033,512297,180843,TQ122808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",35,10,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,32,4,E01001364
UB1 1AZ,Yes,51.515595,-0.385143,512150,180866,TQ121808,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1995-01-01,,"","",106,33,"Greater London","Ealing","Ealing 026E","Urban major conurbation",London,31,4,E01001364
UB1 1BA,Yes,51.507172,-0.379446,512566,179938,TQ125799,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1980-01-01,,"","",21,5,"Greater London","Ealing","Ealing 026C","Urban major conurbation",London,33,4,E01001362
UB1 1BE,Yes,51.506367,-0.379115,512591,179849,TQ125798,"Greater London","Ealing","Southall Broadway", E09000009,E05000189,England,E11000009,"Ealing, Southall",1980-01-01,,"","",90,12,"Greater London","Ealing","Ealing 026C","Urban major conurbation",London,32,4,E01001362
