Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
WV1 1AA,Yes,52.588471,-2.114956,392309,298969,SO923989,"West Midlands","Wolverhampton","Heath Town", E08000031,E05001330,England,E11000018,"Wolverhampton North East",1990-02-01,,"","",4,2,"West Midlands","Wolverhampton","Wolverhampton 015B","Urban major conurbation",West Midlands,143,,E01010472
WV1 1AD,Yes,52.59147,-2.127348,391470,299304,SO914993,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",2007-07-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,146,,E01010521
WV1 1DA,Yes,52.587045,-2.129579,391318,298812,SO913988,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",2005-10-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,160,,E01010521
WV1 1DB,Yes,52.586672,-2.125268,391610,298770,SO916987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,162,,E01010521
WV1 1DD,Yes,52.586476,-2.123526,391728,298748,SO917987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,160,,E01010521
WV1 1DE,Yes,52.586466,-2.12419,391683,298747,SO916987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",2007-02-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,162,,E01010521
WV1 1DG,Yes,52.586347,-2.126743,391510,298734,SO915987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",23,14,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,163,,E01010521
WV1 1DN,Yes,52.586401,-2.126492,391527,298740,SO915987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,163,,E01010521
WV1 1DT,Yes,52.589789,-2.127683,391447,299117,SO914991,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,154,,E01010521
WV1 1DU,Yes,52.586841,-2.127113,391485,298789,SO914987,"West Midlands","Wolverhampton","St Peter's", E08000031,E05001335,England,E11000018,"Wolverhampton South West",1980-01-01,,"","",,,"West Midlands","Wolverhampton","Wolverhampton 020F","Urban major conurbation",West Midlands,163,,E01010521
