Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
AB10 1AB,Yes,57.149609,-2.096916,394235,806529,NJ942065,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",2011-06-01,,"","",,,"","","George Street - 02","Large urban area",,27,,S01006646
AB10 1AF,Yes,57.14871,-2.097806,394181,806429,NJ941064,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","George Street - 02","Large urban area",,25,,S01006646
AB10 1AG,Yes,57.14907,-2.096997,394230,806469,NJ942064,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","George Street - 02","Large urban area",,24,,S01006646
AB10 1AH,Yes,57.148084,-2.094665,394371,806359,NJ943063,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","City Centre West - 05","Large urban area",,24,,S01006586
AB10 1AL,Yes,57.149547,-2.095412,394326,806522,NJ943065,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",0,0,"","","George Street - 02","Large urban area",,23,,S01006646
AB10 1AN,Yes,57.149719,-2.094735,394367,806541,NJ943065,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",1,1,"","","George Street - 02","Large urban area",,21,,S01006646
AB10 1AP,Yes,57.148981,-2.095692,394309,806459,NJ943064,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",0,0,"","","George Street - 02","Large urban area",,24,,S01006646
AB10 1AQ,Yes,57.148084,-2.094665,394371,806359,NJ943063,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","City Centre West - 05","Large urban area",,24,,S01006586
AB10 1AR,Yes,57.148084,-2.094665,394371,806359,NJ943063,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","City Centre West - 05","Large urban area",,24,,S01006586
AB10 1AS,Yes,57.148315,-2.097524,394198,806385,NJ941063,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",0,0,"","","George Street - 02","Large urban area",,24,,S01006646
AB10 1AU,Yes,57.147714,-2.096432,394264,806318,NJ942063,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",25,14,"","","City Centre West - 05","Large urban area",,24,,S01006586
AB10 1AW,Yes,57.14739,-2.097059,394226,806282,NJ942062,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",0,0,"","","City Centre West - 05","Large urban area",,25,,S01006586
AB10 1AX,Yes,57.14871,-2.097806,394181,806429,NJ941064,"","Aberdeen City","George St/Harbour", S12000033,S13002483,Scotland,S99999999,"Aberdeen North",1996-06-01,,"","",,,"","","George Street - 02","Large urban area",,25,,S01006646
