Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CB1 0AH,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2005-06-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0AN,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2005-07-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0AP,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2005-07-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0BD,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2005-10-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0BX,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2013-01-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0FY,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2007-03-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0GJ,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2007-07-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0GL,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2007-07-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0GN,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2006-09-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0GR,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2007-07-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
CB1 0GT,Yes,52.192254,0.137179,546182,257043,TL461570,"Cambridgeshire","Cambridge","Coleridge", E07000008,E05002706,England,E10000003,"Cambridge",2007-08-01,,"","",,,"Cambridge","Cambridge","Cambridge 010B","Urban city and town",East of England,17,,E01017966
