Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CO1 1AA,Yes,51.890874,0.900905,599715,225346,TL997253,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2016-06-01,,"","",,,"Colchester","Colchester","Colchester 007D","Urban city and town",East of England,37,,E01021649
CO1 1AG,Yes,51.898867,0.896623,599385,226223,TL993262,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2002-06-01,,"","",75,39,"Colchester","Colchester","Colchester 007E","Urban city and town",East of England,17,,E01021650
CO1 1AH,Yes,51.898192,0.897001,599414,226149,TL994261,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2002-06-01,,"","",35,13,"Colchester","Colchester","Colchester 007E","Urban city and town",East of England,15,,E01021650
CO1 1AJ,Yes,51.898481,0.896235,599360,226179,TL993261,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2002-06-01,,"","",81,38,"Colchester","Colchester","Colchester 007E","Urban city and town",East of England,16,,E01021650
CO1 1AN,Yes,51.898335,0.897417,599442,226166,TL994261,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2002-06-01,,"","",9,6,"Colchester","Colchester","Colchester 007E","Urban city and town",East of England,16,,E01021650
CO1 1AP,Yes,51.898819,0.898931,599544,226224,TL995262,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2003-10-01,,"","",121,61,"Colchester","Colchester","Colchester 007B","Urban city and town",East of England,15,,E01021647
CO1 1AT,Yes,51.897292,0.901028,599695,226060,TL996260,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2014-08-01,,"","",,,"Colchester","Colchester","Colchester 007B","Urban city and town",East of England,12,,E01021647
CO1 1AU,Yes,51.898299,0.897778,599467,226163,TL994261,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2008-06-01,,"","",31,19,"Colchester","Colchester","Colchester 007B","Urban city and town",East of England,16,,E01021647
CO1 1AW,Yes,51.898248,0.898357,599507,226159,TL995261,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",2008-05-01,,"","",44,21,"Colchester","Colchester","Colchester 007B","Urban city and town",East of England,15,,E01021647
CO1 1BB,Yes,51.889788,0.896053,599386,225212,TL993252,"Essex","Colchester","Castle", E07000071,E05010828,England,E10000012,"Colchester",1997-12-01,,"","",,,"Colchester","Colchester","Colchester 007A","Urban city and town",East of England,36,,E01021646
