Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
CW1 2AF,Yes,53.097959,-2.433142,371094,355727,SJ710557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",20,11,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,55,,E01018464
CW1 2AG,Yes,53.09807,-2.432277,371152,355739,SJ711557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",32,12,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,55,,E01018464
CW1 2AH,Yes,53.098379,-2.434058,371033,355774,SJ710557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AL,Yes,53.099437,-2.434785,370985,355892,SJ709558,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",110,56,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,53,,E01018464
CW1 2AN,Yes,53.09805,-2.442701,370454,355741,SJ704557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",2010-06-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039A","Urban city and town",North West,59,,E01018462
CW1 2AP,Yes,53.099191,-2.435485,370938,355865,SJ709558,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",57,30,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AQ,Yes,53.097909,-2.43474,370987,355722,SJ709557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",4,2,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,55,,E01018464
CW1 2AS,Yes,53.098201,-2.435982,370904,355755,SJ709557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",11,6,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AT,Yes,53.098017,-2.436936,370840,355735,SJ708557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",2,1,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AU,Yes,53.097371,-2.436751,370852,355663,SJ708556,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AW,Yes,53.100158,-2.436749,370854,355973,SJ708559,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",42,16,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,53,,E01018464
CW1 2AY,Yes,53.099285,-2.437039,370834,355876,SJ708558,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",72,32,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2AZ,Yes,53.09962,-2.436295,370884,355913,SJ708559,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",3,2,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,53,,E01018464
CW1 2BA,Yes,53.100343,-2.437662,370793,355994,SJ707559,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",11,6,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2BB,Yes,53.096463,-2.439295,370681,355563,SJ706555,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",2016-03-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2BD,Yes,53.100662,-2.43889,370711,356030,SJ707560,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,53,,E01018464
CW1 2BG,Yes,53.098313,-2.437104,370829,355768,SJ708557,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",12,12,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2BH,Yes,53.098421,-2.439733,370653,355781,SJ706557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",3,1,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2BJ,Yes,53.098476,-2.439465,370671,355787,SJ706557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,58,,E01018464
CW1 2BL,Yes,53.098681,-2.439855,370645,355810,SJ706558,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2BP,Yes,53.098167,-2.440388,370609,355753,SJ706557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2BS,Yes,53.098552,-2.440556,370598,355796,SJ705557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2BZ,Yes,53.09892,-2.440724,370587,355837,SJ705558,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",7,2,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2DA,Yes,53.098877,-2.44038,370610,355832,SJ706558,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1995-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2DB,Yes,53.093743,-2.435863,370909,355259,SJ709552,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",2014-09-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,52,,E01018464
CW1 2DD,Yes,53.094653,-2.4375,370800,355361,SJ708553,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",2004-12-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,53,,E01018464
CW1 2DF,Yes,53.097006,-2.440615,370593,355624,SJ705556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",2,1,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,57,,E01018464
CW1 2DH,Yes,53.09753,-2.439873,370643,355682,SJ706556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,57,,E01018464
CW1 2DJ,Yes,53.098167,-2.440388,370609,355753,SJ706557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2DL,Yes,53.096089,-2.440576,370595,355522,SJ705555,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1991-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,55,,E01018464
CW1 2DP,Yes,53.097687,-2.438755,370718,355699,SJ707556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,57,,E01018464
CW1 2DR,Yes,53.098167,-2.440388,370609,355753,SJ706557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2DT,Yes,53.097687,-2.438755,370718,355699,SJ707556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,57,,E01018464
CW1 2DU,Yes,53.095565,-2.438853,370710,355463,SJ707554,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1984-10-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,54,,E01018464
CW1 2EG,Yes,53.096645,-2.441134,370558,355584,SJ705555,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,57,,E01018464
CW1 2EL,Yes,53.097661,-2.441055,370564,355697,SJ705556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2ER,Yes,53.097507,-2.445981,370234,355682,SJ702556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",2010-07-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039A","Urban city and town",North West,60,,E01018462
CW1 2ES,Yes,53.097454,-2.441008,370567,355674,SJ705556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2ET,Yes,53.097697,-2.440936,370572,355701,SJ705557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1993-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2EW,Yes,53.096831,-2.441673,370522,355605,SJ705556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2EX,Yes,53.098264,-2.440822,370580,355764,SJ705557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2EY,Yes,53.098477,-2.441406,370541,355788,SJ705557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2EZ,Yes,53.098126,-2.441687,370522,355749,SJ705557,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",1,1,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2FA,Yes,53.087991,-2.430624,371256,354617,SJ712546,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",1999-06-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 038C","Urban city and town",North West,55,,E01018501
CW1 2FB,Yes,53.087991,-2.430624,371256,354617,SJ712546,"Cheshire","Cheshire East","Crewe East", E06000049,E05008621,England,E11000004,"Crewe and Nantwich",2010-08-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 038C","Urban city and town",North West,55,,E01018501
CW1 2GZ,Yes,53.097381,-2.441455,370537,355666,SJ705556,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1998-06-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
CW1 2HB,Yes,53.098945,-2.441396,370542,355840,SJ705558,"Cheshire","Cheshire East","Crewe Central", E06000049,E05008620,England,E11000004,"Crewe and Nantwich",1980-01-01,,"Crewe","",,,"Crewe","Crewe","Cheshire East 039B","Urban city and town",North West,59,,E01018464
