Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DD1 1AA,Yes,56.462193,-2.973623,340102,730430,NO401304,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705
DD1 1AD,Yes,56.462407,-2.977247,339879,730457,NO398304,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",2009-06-01,,"","",0,0,"","","City Centre - 05","Large urban area",,22,,S01007705
DD1 1BA,Yes,56.461678,-2.976336,339934,730375,NO399303,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,21,,S01007705
DD1 1DA,Yes,56.46262,-2.970729,340281,730475,NO402304,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",,,"","","City Centre - 05","Large urban area",,17,,S01007705
DD1 1DB,Yes,56.464599,-2.969254,340375,730694,NO403306,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",,,"","","Docks and Wellgate - 05","Large urban area",,24,,S01007711
DD1 1DD,Yes,56.462128,-2.971674,340222,730421,NO402304,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,18,,S01007705
DD1 1DH,Yes,56.461781,-2.971178,340252,730382,NO402303,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",2012-08-01,,"","",,,"","","City Centre - 05","Large urban area",,18,,S01007705
DD1 1DJ,Yes,56.462751,-2.970115,340319,730489,NO403304,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",16,9,"","","City Centre - 05","Large urban area",,17,,S01007705
DD1 1DQ,Yes,56.461609,-2.970248,340309,730362,NO403303,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1992-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,18,,S01007705
DD1 1DU,Yes,56.463163,-2.971457,340237,730536,NO402305,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,19,,S01007705
DD1 1EF,Yes,56.464044,-2.971301,340248,730634,NO402306,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",22,13,"","","City Centre - 05","Large urban area",,22,,S01007705
DD1 1EJ,Yes,56.463856,-2.971215,340253,730613,NO402306,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1980-01-01,,"","",0,0,"","","City Centre - 05","Large urban area",,22,,S01007705
DD1 1EL,Yes,56.464097,-2.971497,340236,730640,NO402306,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",1981-07-01,,"","",33,21,"","","City Centre - 05","Large urban area",,23,,S01007705
DD1 1EN,Yes,56.46446,-2.97097,340269,730680,NO402306,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",0,0,"","","Docks and Wellgate - 05","Large urban area",,25,,S01007711
DD1 1EP,Yes,56.463231,-2.97076,340280,730543,NO402305,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee West",2012-03-01,,"","",,,"","","City Centre - 05","Large urban area",,19,,S01007705
DD1 1EQ,Yes,56.463496,-2.970167,340317,730572,NO403305,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",33,17,"","","City Centre - 05","Large urban area",,18,,S01007705
