Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DY1 1AE,Yes,52.51155,-2.088807,394070,290410,SO940904,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1987-04-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,201,,E01009881
DY1 1AF,Yes,52.512453,-2.082708,394484,290510,SO944905,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",2013-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 006C","Urban major conurbation",West Midlands,200,,E01009757
DY1 1DA,Yes,52.50998,-2.084368,394371,290235,SO943902,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,208,,E01009881
DY1 1DB,Yes,52.510249,-2.085548,394291,290265,SO942902,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,208,,E01009881
DY1 1DS,Yes,52.51074,-2.088982,394058,290320,SO940903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",21,17,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,206,,E01009881
DY1 1DT,Yes,52.51083,-2.089645,394013,290330,SO940903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,206,,E01009881
DY1 1DU,Yes,52.51068,-2.086197,394247,290313,SO942903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,205,,E01009881
DY1 1DZ,Yes,52.510671,-2.086108,394253,290312,SO942903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",9,6,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,205,,E01009881
DY1 1ED,Yes,52.51033,-2.084678,394350,290274,SO943902,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",3,2,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,207,,E01009881
DY1 1EF,Yes,52.510133,-2.084133,394387,290252,SO943902,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",4,3,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,207,,E01009881
DY1 1EH,Yes,52.51077,-2.085416,394300,290323,SO943903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",2009-04-01,,"","",11,8,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,205,,E01009881
DY1 1EP,Yes,52.51086,-2.085284,394309,290333,SO943903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",22,17,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,205,,E01009881
DY1 1EW,Yes,52.511103,-2.084813,394341,290360,SO943903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1984-02-01,,"","",41,34,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,204,,E01009881
DY1 1EX,Yes,52.510672,-2.084532,394360,290312,SO943903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",1,1,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,207,,E01009881
DY1 1EY,Yes,52.511625,-2.084386,394370,290418,SO943904,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",2012-03-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,202,,E01009881
DY1 1HA,Yes,52.511041,-2.083752,394413,290353,SO944903,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",12,6,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,205,,E01009881
DY1 1HF,Yes,52.5122,-2.084343,394373,290482,SO943904,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1980-01-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,200,,E01009881
DY1 1HG,Yes,52.51155,-2.088807,394070,290410,SO940904,"West Midlands","Dudley","St James's", E08000027,E05001254,England,E11000018,"Dudley North",1990-07-01,,"","",,,"West Midlands","Dudley (Dudley)","Dudley 011C","Urban major conurbation",West Midlands,201,,E01009881
