Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
EC1A 1AA,Yes,51.525136,-0.111183,531131,182382,TQ311823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2013-07-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1AH,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1995-01-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1AZ,Yes,51.524503,-0.112088,531070,182310,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-07-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1BB,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1984-10-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DH,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DJ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DL,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DN,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DP,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
EC1A 1DR,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726
