Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
EN1 1AA,Yes,51.651916,-0.077106,533124,196542,TQ331965,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1990-02-01,,"","",,,"Greater London","Enfield","Enfield 015D","Urban major conurbation",London,34,5,E01001512
EN1 1BA,Yes,51.641864,-0.068975,533716,195439,TQ337954,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",7,5,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,24,5,E01001406
EN1 1BB,Yes,51.642331,-0.067351,533827,195494,TQ338954,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",89,48,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,21,5,E01001406
EN1 1BE,Yes,51.64392,-0.06659,533875,195672,TQ338956,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1980-01-01,,"","",97,36,"Greater London","Enfield","Enfield 016E","Urban major conurbation",London,23,5,E01001514
EN1 1BG,Yes,51.64445,-0.067116,533837,195730,TQ338957,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",98,51,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,23,5,E01001406
EN1 1BJ,Yes,51.642366,-0.067826,533794,195497,TQ337954,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",100,45,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,21,5,E01001406
EN1 1BL,Yes,51.642094,-0.069298,533693,195464,TQ336954,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",42,21,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,23,5,E01001406
EN1 1BN,Yes,51.642933,-0.069999,533642,195556,TQ336955,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",102,44,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,22,5,E01001406
EN1 1BP,Yes,51.644766,-0.071584,533527,195757,TQ335957,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",101,36,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,24,5,E01001406
EN1 1BS,Yes,51.645538,-0.071507,533530,195843,TQ335958,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1980-01-01,,"","",54,26,"Greater London","Enfield","Enfield 016E","Urban major conurbation",London,24,5,E01001514
EN1 1BT,Yes,51.644219,-0.069511,533672,195700,TQ336957,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",71,31,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,23,5,E01001406
EN1 1BU,Yes,51.643942,-0.068482,533744,195671,TQ337956,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",127,39,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,23,5,E01001406
EN1 1BW,Yes,51.643844,-0.07077,533586,195656,TQ335956,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",59,26,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,24,5,E01001406
EN1 1BX,Yes,51.643665,-0.068031,533776,195641,TQ337956,"Greater London","Enfield","Bush Hill Park", E09000010,E05000194,England,E11000009,"Edmonton",1980-01-01,,"","",88,31,"Greater London","Enfield","Enfield 015B","Urban major conurbation",London,21,5,E01001406
EN1 1DA,Yes,51.645216,-0.068862,533714,195812,TQ337958,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1980-01-01,,"","",85,31,"Greater London","Enfield","Enfield 016E","Urban major conurbation",London,24,5,E01001514
EN1 1DB,Yes,51.645894,-0.064179,534036,195896,TQ340958,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1980-01-01,,"","",14,11,"Greater London","Enfield","Enfield 015E","Urban major conurbation",London,23,5,E01001515
EN1 1DD,Yes,51.646003,-0.063133,534108,195910,TQ341959,"Greater London","Enfield","Southbury", E09000010,E05000207,England,E11000009,"Enfield North",1980-01-01,,"","",155,51,"Greater London","Enfield","Enfield 015E","Urban major conurbation",London,22,5,E01001515
