Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
FK1 1AA,Yes,56.002002,-3.784778,288795,680221,NS887802,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Grahamston - 03","Other urban area",,28,,S01009140
FK1 1AE,Yes,55.998646,-3.781929,288963,679843,NS889798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",2016-03-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,39,,S01009153
FK1 1AZ,Yes,55.996808,-3.785966,288706,679645,NS887796,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1990-12-01,,"","",33,22,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151
FK1 1BA,Yes,55.99773,-3.784356,288809,679745,NS888797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",36,18,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151
FK1 1BB,Yes,55.998238,-3.785262,288754,679803,NS887798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",4,2,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151
FK1 1BE,Yes,55.997981,-3.787495,288614,679778,NS886797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",47,22,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151
FK1 1BF,Yes,55.997287,-3.785779,288719,679698,NS887796,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1992-10-01,,"","",14,12,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,40,,S01009151
FK1 1BG,Yes,55.997962,-3.786356,288685,679774,NS886797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",27,7,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151
FK1 1BL,Yes,55.997978,-3.788986,288521,679780,NS885797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",1,1,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1BN,Yes,55.997381,-3.787403,288618,679711,NS886797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",34,14,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,38,,S01009151
FK1 1BQ,Yes,55.997737,-3.786393,288682,679749,NS886797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",11,8,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,41,,S01009151
FK1 1BT,Yes,55.997673,-3.788908,288525,679746,NS885797,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",2012-06-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1DD,Yes,55.999674,-3.785424,288748,679963,NS887799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",1,1,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,42,,S01009153
FK1 1DG,Yes,56.000254,-3.78691,288657,680030,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",2,2,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,38,,S01009153
FK1 1DJ,Yes,55.999711,-3.787783,288601,679971,NS886799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",3,3,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1DL,Yes,55.998239,-3.788934,288525,679809,NS885798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1994-09-01,,"","",7,4,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1DQ,Yes,56.000443,-3.786887,288659,680051,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,37,,S01009153
FK1 1DU,Yes,55.998698,-3.782076,288954,679849,NS889798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",2,1,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,43,,S01009153
FK1 1DZ,Yes,55.998889,-3.783175,288886,679872,NS888798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,43,,S01009153
FK1 1EA,Yes,55.998801,-3.783636,288857,679863,NS888798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 04","Other urban area",,43,,S01009152
FK1 1ED,Yes,55.999069,-3.784386,288811,679894,NS888798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",4,1,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,43,,S01009151
FK1 1EJ,Yes,55.999341,-3.786082,288706,679927,NS887799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,42,,S01009151
FK1 1EN,Yes,55.999753,-3.786807,288662,679974,NS886799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151
FK1 1ER,Yes,56.000007,-3.787861,288597,680004,NS885800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1ES,Yes,55.999753,-3.786807,288662,679974,NS886799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151
FK1 1EU,Yes,55.999974,-3.7864,288688,679998,NS886799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1987-05-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,39,,S01009151
FK1 1EY,Yes,56.000238,-3.787407,288626,680029,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,37,,S01009151
FK1 1EZ,Yes,56.000251,-3.787728,288606,680031,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1981-07-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,36,,S01009151
FK1 1HB,Yes,55.999163,-3.785288,288755,679906,NS887799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,43,,S01009151
FK1 1HG,Yes,55.998627,-3.786354,288687,679848,NS886798,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1992-10-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 03","Other urban area",,43,,S01009151
FK1 1HN,Yes,56.004638,-3.784515,288819,680514,NS888805,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",14,7,"","","Falkirk - Grahamston - 03","Other urban area",,20,,S01009140
FK1 1HQ,Yes,56.004558,-3.783885,288858,680504,NS888805,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1997-06-01,,"","",14,9,"","","Falkirk - Grahamston - 03","Other urban area",,20,,S01009140
FK1 1HR,Yes,56.003501,-3.784238,288833,680387,NS888803,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",11,10,"","","Falkirk - Grahamston - 03","Other urban area",,22,,S01009140
FK1 1HS,Yes,56.002726,-3.784362,288823,680301,NS888803,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",7,5,"","","Falkirk - Grahamston - 03","Other urban area",,24,,S01009140
FK1 1HU,Yes,56.002149,-3.786356,288697,680240,NS886802,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1981-09-01,,"","",0,0,"","","Falkirk - Grahamston - 03","Other urban area",,27,,S01009140
FK1 1HX,Yes,56.000927,-3.785771,288730,680103,NS887801,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",14,12,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,36,,S01009153
FK1 1HY,Yes,56.001498,-3.784835,288790,680165,NS887801,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1973-08-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,31,,S01009153
FK1 1HZ,Yes,56.001147,-3.785428,288752,680127,NS887801,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",24,20,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,34,,S01009153
FK1 1JB,Yes,56.001402,-3.784606,288804,680154,NS888801,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",11,7,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,32,,S01009153
FK1 1JE,Yes,56.000813,-3.786198,288703,680091,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,37,,S01009153
FK1 1JH,Yes,56.00028,-3.785132,288768,680030,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",0,0,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,40,,S01009153
FK1 1JJ,Yes,56.000446,-3.784818,288788,680048,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,39,,S01009153
FK1 1JL,Yes,56.000186,-3.78479,288789,680019,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",3,2,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,40,,S01009153
FK1 1JN,Yes,56.000094,-3.784914,288781,680009,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",6,5,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,41,,S01009153
FK1 1JQ,Yes,56.000805,-3.785493,288747,680089,NS887800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",1,1,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,37,,S01009153
FK1 1JR,Yes,55.999779,-3.785012,288774,679974,NS887799,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",1,1,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,42,,S01009153
FK1 1JT,Yes,56.000824,-3.78668,288673,680093,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1978-11-01,,"","",0,0,"","","Falkirk - Grahamston - 03","Other urban area",,37,,S01009140
FK1 1JX,Yes,56.00074,-3.787494,288622,680085,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",,,"","","Falkirk - Grahamston - 03","Other urban area",,36,,S01009140
FK1 1JY,Yes,56.000335,-3.787556,288617,680040,NS886800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",8,4,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,36,,S01009153
FK1 1LA,Yes,56.004862,-3.783932,288856,680538,NS888805,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",12,5,"","","Falkirk - Grahamston - 03","Other urban area",,20,,S01009140
FK1 1LB,Yes,56.004839,-3.782423,288950,680533,NS889805,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",41,20,"","","Falkirk - Grahamston - 03","Other urban area",,19,,S01009140
FK1 1LD,Yes,56.002891,-3.78352,288876,680318,NS888803,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",4,1,"","","Falkirk - Grahamston - 03","Other urban area",,24,,S01009140
FK1 1LL,Yes,56.000888,-3.784101,288834,680096,NS888800,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",8,6,"","","Falkirk - Town Centre and Callendar Park - 05","Other urban area",,35,,S01009153
FK1 1LQ,Yes,56.002304,-3.78314,288898,680252,NS888802,"","Falkirk","Falkirk North", S12000014,S13002614,Scotland,S99999999,"Falkirk",1980-01-01,,"","",0,0,"","","Falkirk - Grahamston - 03","Other urban area",,26,,S01009140
