Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HA0 1AB,Yes,51.539778,-0.303116,517779,183684,TQ177836,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1990-02-01,,"","",,,"Greater London","Brent","Brent 029C","Urban major conurbation",London,33,4,E01000475
HA0 1AD,Yes,51.540412,-0.303425,517756,183754,TQ177837,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",49,12,"Greater London","Brent","Brent 029C","Urban major conurbation",London,33,4,E01000475
HA0 1AE,Yes,51.540882,-0.305469,517613,183803,TQ176838,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",117,36,"Greater London","Brent","Brent 029C","Urban major conurbation",London,32,4,E01000475
HA0 1AF,Yes,51.542582,-0.30617,517560,183991,TQ175839,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",52,19,"Greater London","Brent","Brent 029C","Urban major conurbation",London,34,4,E01000475
HA0 1AH,Yes,51.542914,-0.305495,517606,184029,TQ176840,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",113,32,"Greater London","Brent","Brent 029C","Urban major conurbation",London,37,4,E01000475
HA0 1AJ,Yes,51.54165,-0.303234,517766,183892,TQ177838,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",116,31,"Greater London","Brent","Brent 029C","Urban major conurbation",London,37,4,E01000475
HA0 1AL,Yes,51.547778,-0.312886,517081,184558,TQ170845,"Greater London","Ealing","North Greenford", E09000009,E05000183,England,E11000009,"Ealing North",1980-01-01,,"","",6,3,"Greater London","Ealing","Ealing 002B","Urban major conurbation",London,51,4,E01001308
HA0 1AN,Yes,51.540268,-0.302219,517840,183740,TQ178837,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1986-07-01,,"","",,,"Greater London","Brent","Brent 029C","Urban major conurbation",London,35,4,E01000475
HA0 1AP,Yes,51.543085,-0.304825,517652,184049,TQ176840,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1985-10-01,,"","",109,32,"Greater London","Brent","Brent 029C","Urban major conurbation",London,40,4,E01000475
HA0 1AQ,Yes,51.541341,-0.30365,517738,183857,TQ177838,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",175,45,"Greater London","Brent","Brent 029C","Urban major conurbation",London,35,4,E01000475
HA0 1AR,Yes,51.545148,-0.306392,517538,184276,TQ175842,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",179,48,"Greater London","Brent","Brent 029C","Urban major conurbation",London,37,4,E01000475
HA0 1AS,Yes,51.546669,-0.308297,517402,184442,TQ174844,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",50,16,"Greater London","Brent","Brent 029C","Urban major conurbation",London,41,4,E01000475
HA0 1AT,Yes,51.54761,-0.310599,517240,184543,TQ172845,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",122,40,"Greater London","Brent","Brent 029C","Urban major conurbation",London,49,4,E01000475
HA0 1AU,Yes,51.548318,-0.311683,517163,184620,TQ171846,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",67,26,"Greater London","Brent","Brent 029C","Urban major conurbation",London,52,4,E01000475
HA0 1AX,Yes,51.548673,-0.312593,517099,184658,TQ170846,"Greater London","Ealing","North Greenford", E09000009,E05000183,England,E11000009,"Ealing North",1980-01-01,,"","",13,5,"Greater London","Ealing","Ealing 002B","Urban major conurbation",London,54,4,E01001308
HA0 1BA,Yes,51.538577,-0.304646,517676,183548,TQ176835,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",2003-06-01,,"","",,,"Greater London","Brent","Brent 029C","Urban major conurbation",London,31,4,E01000475
HA0 1BH,Yes,51.537703,-0.29956,518031,183459,TQ180834,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",11,4,"Greater London","Brent","Brent 029A","Urban major conurbation",London,29,4,E01000472
HA0 1BJ,Yes,51.541116,-0.304884,517653,183830,TQ176838,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",105,29,"Greater London","Brent","Brent 029C","Urban major conurbation",London,33,4,E01000475
HA0 1BL,Yes,51.541328,-0.304616,517671,183854,TQ176838,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",142,35,"Greater London","Brent","Brent 029C","Urban major conurbation",London,34,4,E01000475
HA0 1BN,Yes,51.538717,-0.305622,517608,183562,TQ176835,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",90,21,"Greater London","Brent","Brent 029C","Urban major conurbation",London,30,4,E01000475
HA0 1BQ,Yes,51.551408,-0.306477,517516,184972,TQ175849,"Greater London","Brent","Sudbury", E09000005,E05000101,England,E11000009,"Brent North",2001-12-01,,"","",,,"Greater London","Brent","Brent 019B","Urban major conurbation",London,48,4,E01000612
HA0 1BS,Yes,51.540334,-0.306787,517523,183740,TQ175837,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1996-12-01,,"","",125,57,"Greater London","Ealing","Ealing 005B","Urban major conurbation",London,31,4,E01001342
HA0 1BT,Yes,51.540802,-0.30677,517523,183792,TQ175837,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1996-12-01,,"","",143,73,"Greater London","Ealing","Ealing 005B","Urban major conurbation",London,31,4,E01001342
HA0 1BU,Yes,51.539986,-0.30569,517600,183703,TQ176837,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1996-12-01,,"","",59,29,"Greater London","Ealing","Ealing 005B","Urban major conurbation",London,31,4,E01001342
HA0 1BW,Yes,51.538132,-0.306191,517570,183496,TQ175834,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1980-01-01,,"","",115,29,"Greater London","Ealing","Ealing 005D","Urban major conurbation",London,31,4,E01001345
HA0 1BX,Yes,51.537267,-0.304219,517709,183403,TQ177834,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1995-01-01,,"","",,,"Greater London","Brent","Brent 029C","Urban major conurbation",London,31,4,E01000475
HA0 1BZ,Yes,51.543661,-0.306116,517561,184111,TQ175841,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1988-03-01,,"","",,,"Greater London","Brent","Brent 029C","Urban major conurbation",London,36,4,E01000475
HA0 1DB,Yes,51.539144,-0.304669,517673,183611,TQ176836,"Greater London","Brent","Alperton", E09000005,E05000085,England,E11000009,"Brent North",1980-01-01,,"","",89,26,"Greater London","Brent","Brent 029C","Urban major conurbation",London,31,4,E01000475
HA0 1DD,Yes,51.535488,-0.306189,517577,183202,TQ175832,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1980-01-01,,"","",113,36,"Greater London","Ealing","Ealing 005D","Urban major conurbation",London,27,4,E01001345
HA0 1DE,Yes,51.536768,-0.306444,517556,183344,TQ175833,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1980-01-01,,"","",18,4,"Greater London","Ealing","Ealing 005D","Urban major conurbation",London,29,4,E01001345
HA0 1DF,Yes,51.535915,-0.307773,517466,183247,TQ174832,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1980-01-01,,"","",90,26,"Greater London","Ealing","Ealing 005D","Urban major conurbation",London,28,4,E01001345
HA0 1DG,Yes,51.535671,-0.308258,517433,183219,TQ174832,"Greater London","Ealing","Perivale", E09000009,E05000187,England,E11000009,"Ealing North",1980-01-01,,"","",44,11,"Greater London","Ealing","Ealing 005D","Urban major conurbation",London,28,4,E01001345
