Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HD1 1AA,Yes,53.648426,-1.781544,414538,416902,SE145169,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",2000-06-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,87,,E01011107
HD1 1BA,Yes,53.647214,-1.782322,414487,416767,SE144167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,92,,E01011107
HD1 1BG,Yes,53.647726,-1.78235,414485,416824,SE144168,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,91,,E01011107
HD1 1BL,Yes,53.647584,-1.782925,414447,416808,SE144168,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 034B","Urban major conurbation",Yorkshire and The Humber,93,,E01011236
HD1 1BQ,Yes,53.64769,-1.782335,414486,416820,SE144168,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,91,,E01011107
HD1 1BR,Yes,53.64735,-1.78279,414456,416782,SE144167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",9,7,"West Yorkshire","Huddersfield","Kirklees 034B","Urban major conurbation",Yorkshire and The Humber,93,,E01011236
HD1 1BS,Yes,53.647503,-1.782895,414449,416799,SE144167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",12,7,"West Yorkshire","Huddersfield","Kirklees 034B","Urban major conurbation",Yorkshire and The Humber,93,,E01011236
HD1 1BT,Yes,53.647196,-1.78208,414503,416765,SE145167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,92,,E01011107
HD1 1BU,Yes,53.647265,-1.780915,414580,416773,SE145167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,87,,E01011107
HD1 1BX,Yes,53.647303,-1.781716,414527,416777,SE145167,"West Yorkshire","Kirklees","Newsome", E08000034,E05001410,England,E11000019,"Huddersfield",1980-01-01,,"","",,,"West Yorkshire","Huddersfield","Kirklees 029D","Urban major conurbation",Yorkshire and The Humber,90,,E01011107
