Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HR1 1AA,Yes,52.060749,-2.710027,351418,240501,SO514405,"Herefordshire","Herefordshire, County of","Widemarsh", E06000019,E05009489,England,E11000011,"Hereford and South Herefordshire",1990-02-01,,"Hereford","",,,"Hereford","","Herefordshire 012C","Urban city and town",West Midlands,54,,E01014010
HR1 1AB,Yes,52.075386,-2.711529,351331,242130,SO513421,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"North Herefordshire",2012-05-01,,"Holmer & Shelwick","",,,"","","Herefordshire 011C","Urban city and town",West Midlands,70,,E01014007
HR1 1AD,Yes,52.068546,-2.703747,351857,241364,SO518413,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",2008-08-01,,"Hereford","",201,84,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,77,,E01013987
HR1 1AE,Yes,52.076067,-2.711905,351306,242206,SO513422,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"North Herefordshire",2013-07-01,,"Holmer & Shelwick","",,,"Hereford","","Herefordshire 011C","Urban city and town",West Midlands,69,,E01014007
HR1 1AF,Yes,52.076283,-2.710493,351403,242229,SO514422,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"North Herefordshire",2013-12-01,,"Holmer & Shelwick","",,,"","","Herefordshire 011C","Urban city and town",West Midlands,68,,E01014007
HR1 1AG,Yes,52.069108,-2.698518,352216,241423,SO522414,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",2015-01-01,,"Hereford","",,,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,73,,E01013987
HR1 1AH,Yes,52.071313,-2.70557,351735,241673,SO517416,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",1987-10-01,,"Hereford","",87,37,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,60,,E01013987
HR1 1AJ,Yes,52.071141,-2.705801,351719,241654,SO517416,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",1987-10-01,,"Hereford","",23,10,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,61,,E01013987
HR1 1AL,Yes,52.071273,-2.704723,351793,241668,SO517416,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",1987-10-01,,"Hereford","",57,21,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,60,,E01013987
HR1 1AN,Yes,52.071286,-2.702652,351935,241668,SO519416,"Herefordshire","Herefordshire, County of","Holmer", E06000019,E05009460,England,E11000011,"Hereford and South Herefordshire",1987-10-01,,"Hereford","",71,30,"Hereford","","Herefordshire 011A","Urban city and town",West Midlands,59,,E01013987
