Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HS1 2AD,Yes,58.208791,-6.386336,142442,932834,NB424328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,11,,S01009041
HS1 2AE,Yes,58.206922,-6.386565,142415,932627,NB424326,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1997-06-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,4,,S01009041
HS1 2AF,Yes,58.221097,-6.384414,142644,934195,NB426341,"","Eilean Siar","Steòrnabhagh a Tuath", S12000013,S13002606,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway East - 04","Very remote small town",,16,,S01009045
HS1 2AG,Yes,58.213091,-6.381857,142736,933295,NB427332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2012-03-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,17,,S01009041
HS1 2BA,Yes,58.208012,-6.390687,142181,932764,NB421327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,5,,S01009041
HS1 2BB,Yes,58.20774,-6.38578,142467,932715,NB424327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,7,,S01009041
HS1 2BD,Yes,58.208282,-6.390175,142213,932792,NB422327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",1,0,"","","Stornoway West - 04","Very remote small town",,5,,S01009041
HS1 2BE,Yes,58.208047,-6.389686,142240,932764,NB422327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,5,,S01009041
HS1 2BG,Yes,58.208103,-6.389352,142260,932769,NB422327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,5,,S01009041
HS1 2BJ,Yes,58.208124,-6.387685,142358,932765,NB423327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,6,,S01009041
HS1 2BN,Yes,58.208065,-6.386025,142455,932752,NB424327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,8,,S01009041
HS1 2BQ,Yes,58.208111,-6.387564,142365,932763,NB423327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,6,,S01009041
HS1 2BS,Yes,58.207535,-6.385227,142498,932690,NB424326,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,6,,S01009041
HS1 2BT,Yes,58.206791,-6.384624,142528,932605,NB425326,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,5,,S01009041
HS1 2BW,Yes,58.209151,-6.378747,142890,932845,NB428328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,9,,S01009041
HS1 2DA,Yes,58.208688,-6.388027,142342,932829,NB423328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",1,1,"","","Stornoway West - 04","Very remote small town",,7,,S01009041
HS1 2DB,Yes,58.208188,-6.387931,142344,932773,NB423327,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",3,0,"","","Stornoway West - 04","Very remote small town",,6,,S01009041
HS1 2DD,Yes,58.209485,-6.388398,142326,932919,NB423329,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",17,7,"","","Stornoway West - 04","Very remote small town",,7,,S01009041
HS1 2DF,Yes,58.209507,-6.389049,142288,932924,NB422329,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,6,,S01009041
