Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HU1 1AA,Yes,53.744043,-0.332795,510050,428808,TA100288,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",2002-06-01,,"","",45,33,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,11,,E01033104
HU1 1AZ,Yes,53.73781,-0.335179,509909,428111,TA099281,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",2008-12-01,,"","",6,6,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,2,,E01033104
HU1 1DB,Yes,53.743587,-0.333647,509995,428756,TA099287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",2007-05-01,,"","",13,10,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,12,,E01033104
HU1 1EA,Yes,53.742927,-0.332687,510060,428684,TA100286,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",1980-01-01,,"","",5,2,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,11,,E01033104
HU1 1ED,Yes,53.743416,-0.333638,509996,428737,TA099287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",2011-12-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,12,,E01033104
HU1 1EJ,Yes,53.743621,-0.332872,510046,428761,TA100287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",1983-07-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,12,,E01033104
HU1 1EL,Yes,53.743382,-0.332442,510075,428735,TA100287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",1990-02-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,11,,E01033104
HU1 1EN,Yes,53.743255,-0.333023,510037,428720,TA100287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",1980-01-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,12,,E01033104
HU1 1EP,Yes,53.744709,-0.331585,510128,428884,TA101288,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",1980-01-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029F","Urban city and town",Yorkshire and The Humber,8,,E01033109
HU1 1ER,Yes,53.743521,-0.333452,510008,428749,TA100287,"East Riding of Yorkshire","Kingston upon Hull, City of","Myton", E06000010,E05001677,England,E11000008,"Kingston upon Hull West and Hessle",2012-06-01,,"","",,,"Kingston upon Hull","Kingston upon Hull","Kingston upon Hull 029E","Urban city and town",Yorkshire and The Humber,12,,E01033104
