Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HX1 1AA,Yes,53.724337,-1.857458,409503,425335,SE095253,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1990-02-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,135,,E01010994
HX1 1AD,Yes,53.722104,-1.861179,409258,425086,SE092250,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,153,,E01010994
HX1 1AE,Yes,53.72347,-1.861447,409240,425238,SE092252,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",2012-09-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,153,,E01010994
HX1 1AF,Yes,53.721515,-1.857665,409490,425021,SE094250,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",2013-10-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,139,,E01010994
HX1 1BB,Yes,53.722203,-1.861845,409214,425097,SE092250,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1995-07-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,154,,E01010994
HX1 1BE,Yes,53.721466,-1.861484,409238,425015,SE092250,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,154,,E01010994
HX1 1BP,Yes,53.721268,-1.861681,409225,424993,SE092249,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,154,,E01010994
HX1 1BS,Yes,53.72124,-1.860681,409291,424990,SE092249,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,152,,E01010994
HX1 1BT,Yes,53.722238,-1.860723,409288,425101,SE092251,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,153,,E01010994
HX1 1BW,Yes,53.721662,-1.860574,409298,425037,SE092250,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",,,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,152,,E01010994
HX1 1BX,Yes,53.720682,-1.860198,409323,424928,SE093249,"West Yorkshire","Calderdale","Town", E08000033,E05001386,England,E11000019,"Halifax",1980-01-01,,"","",2,2,"West Yorkshire","Halifax","Calderdale 008E","Urban major conurbation",Yorkshire and The Humber,152,,E01010994
