Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
KA1 1AD,Yes,55.602937,-4.510549,241933,637229,NS419372,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",2008-07-01,,"","",34,21,"","","Grange, Howard and Gargieston - 02","Other urban area",,29,,S01008018
KA1 1BA,Yes,55.608478,-4.498502,242714,637818,NS427378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1989-04-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1BB,Yes,55.608657,-4.499418,242657,637840,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1BD,Yes,55.608626,-4.499178,242672,637836,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1BE,Yes,55.608485,-4.500344,242598,637823,NS425378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1BG,Yes,55.608303,-4.500475,242589,637803,NS425378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1BH,Yes,55.608898,-4.499926,242626,637868,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1BL,Yes,55.609814,-4.499539,242654,637969,NS426379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,35,,S01008012
KA1 1BS,Yes,55.609463,-4.499104,242680,637929,NS426379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",1,1,"","","Bonnyton and Town Centre - 01","Other urban area",,35,,S01008012
KA1 1BW,Yes,55.599203,-4.493149,243014,636774,NS430367,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1994-10-01,,"","",,,"","","Kilmarnock South Central and Caprington - 03","Other urban area",,23,,S01007975
KA1 1BX,Yes,55.599203,-4.493149,243014,636774,NS430367,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1990-12-01,,"","",,,"","","Kilmarnock South Central and Caprington - 03","Other urban area",,23,,S01007975
KA1 1DB,Yes,55.608406,-4.498926,242687,637811,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1995-12-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1DD,Yes,55.610956,-4.498643,242715,638094,NS427380,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",18,12,"","","Bonnyton and Town Centre - 01","Other urban area",,40,,S01008012
KA1 1DG,Yes,55.611539,-4.498252,242742,638158,NS427381,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",2,1,"","","Bonnyton and Town Centre - 01","Other urban area",,42,,S01008012
KA1 1DH,Yes,55.611718,-4.497406,242796,638176,NS427381,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,41,,S01008012
KA1 1DP,Yes,55.599203,-4.493149,243014,636774,NS430367,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1990-12-01,,"","",,,"","","Kilmarnock South Central and Caprington - 03","Other urban area",,23,,S01007975
KA1 1DU,Yes,55.607791,-4.49822,242729,637741,NS427377,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",8,6,"","","Bonnyton and Town Centre - 01","Other urban area",,31,,S01008012
KA1 1DZ,Yes,55.607719,-4.498247,242727,637733,NS427377,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",1,1,"","","Bonnyton and Town Centre - 01","Other urban area",,31,,S01008012
KA1 1EA,Yes,55.608406,-4.498926,242687,637811,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1995-12-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1ED,Yes,55.607888,-4.499226,242666,637754,NS426377,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1EG,Yes,55.606531,-4.499648,242634,637604,NS426376,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",8,3,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1EP,Yes,55.608435,-4.499261,242666,637815,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",1,1,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1EQ,Yes,55.606951,-4.500643,242573,637653,NS425376,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",16,2,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1ER,Yes,55.608578,-4.498857,242692,637830,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1GB,Yes,55.611452,-4.497214,242807,638146,NS428381,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1998-12-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,39,,S01008012
KA1 1HA,Yes,55.609269,-4.498044,242746,637905,NS427379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1HJ,Yes,55.609226,-4.498851,242695,637902,NS426379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1HN,Yes,55.609546,-4.498585,242713,637937,NS427379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",2,1,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1HU,Yes,55.610745,-4.497947,242758,638069,NS427380,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,37,,S01008012
KA1 1HW,Yes,55.610272,-4.498679,242710,638018,NS427380,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,37,,S01008012
KA1 1HX,Yes,55.609779,-4.496853,242823,637959,NS428379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1HZ,Yes,55.610086,-4.496778,242829,637993,NS428379,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1JB,Yes,55.610434,-4.497324,242796,638033,NS427380,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1998-06-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,36,,S01008012
KA1 1JG,Yes,55.611003,-4.497185,242807,638096,NS428380,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,37,,S01008012
KA1 1JH,Yes,55.6116,-4.495699,242903,638159,NS429381,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",2006-03-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,38,,S01008012
KA1 1JN,Yes,55.610809,-4.49657,242845,638073,NS428380,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",2000-12-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1JU,Yes,55.610648,-4.494765,242958,638051,NS429380,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,35,,S01008012
KA1 1LE,Yes,55.599203,-4.493149,243014,636774,NS430367,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",2013-01-01,,"","",,,"","","Kilmarnock South Central and Caprington - 03","Other urban area",,23,,S01007975
KA1 1LL,Yes,55.609699,-4.496324,242856,637949,NS428379,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1LN,Yes,55.610806,-4.495378,242920,638070,NS429380,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1LR,Yes,55.610173,-4.496005,242878,638001,NS428380,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1LT,Yes,55.610137,-4.495558,242906,637996,NS429379,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1LU,Yes,55.611049,-4.495823,242893,638098,NS428380,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,36,,S01008012
KA1 1NN,Yes,55.608733,-4.500106,242614,637850,NS426378,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",2000-06-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,34,,S01008012
KA1 1NP,Yes,55.608844,-4.496381,242849,637854,NS428378,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1NY,Yes,55.599203,-4.493149,243014,636774,NS430367,"","East Ayrshire","Kilmarnock West and Crosshouse", S12000008,S13002555,Scotland,S99999999,"Kilmarnock and Loudoun",1994-10-01,,"","",,,"","","Kilmarnock South Central and Caprington - 03","Other urban area",,23,,S01007975
KA1 1PA,Yes,55.608458,-4.496357,242849,637811,NS428378,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1PB,Yes,55.608185,-4.496085,242865,637780,NS428377,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",,,"","","Bonnyton and Town Centre - 01","Other urban area",,33,,S01008012
KA1 1PD,Yes,55.608057,-4.496633,242830,637767,NS428377,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,32,,S01008012
KA1 1PG,Yes,55.607209,-4.496817,242815,637673,NS428376,"","East Ayrshire","Kilmarnock East and Hurlford", S12000008,S13002556,Scotland,S99999999,"Kilmarnock and Loudoun",1980-01-01,,"","",0,0,"","","Bonnyton and Town Centre - 01","Other urban area",,30,,S01008012
