Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
KT1 1AA,Yes,51.408688,-0.304465,518023,169104,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1990-02-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1AD,Yes,51.411212,-0.301137,518248,169390,TQ182693,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2010-03-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1AE,Yes,51.412606,-0.307355,517812,169535,TQ178695,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2011-02-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,9,6,E01002968
KT1 1AF,Yes,51.41255,-0.307227,517821,169529,TQ178695,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2011-02-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,10,6,E01002968
KT1 1AJ,Yes,51.412616,-0.307469,517804,169536,TQ178695,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2013-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,9,6,E01002968
KT1 1AL,Yes,51.409153,-0.307353,517821,169151,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2012-06-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,11,6,E01002968
KT1 1AN,Yes,51.411857,-0.300983,518257,169462,TQ182694,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2012-09-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1AP,Yes,51.412794,-0.302329,518161,169564,TQ181695,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2015-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1AZ,Yes,51.408764,-0.307856,517787,169107,TQ177691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2001-12-01,,"","",34,20,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,11,6,E01002968
KT1 1BB,Yes,51.408877,-0.305681,517938,169123,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",17,8,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1BJ,Yes,51.409671,-0.304645,518008,169213,TQ180692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1984-10-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1BL,Yes,51.409193,-0.304547,518016,169160,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1984-10-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1BP,Yes,51.409512,-0.30363,518079,169197,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1BQ,Yes,51.409109,-0.305557,517946,169149,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",2,2,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1BS,Yes,51.409188,-0.304188,518041,169160,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1981-06-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1BU,Yes,51.409689,-0.303393,518095,169217,TQ180692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1BW,Yes,51.410062,-0.303048,518118,169259,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",2,1,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1DA,Yes,51.410254,-0.302667,518144,169281,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1DE,Yes,51.410184,-0.302799,518135,169273,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1DF,Yes,51.410147,-0.301492,518226,169271,TQ182692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1991-09-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1DH,Yes,51.410423,-0.302546,518152,169300,TQ181693,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1DJ,Yes,51.41003,-0.302101,518184,169257,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",5,1,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1DN,Yes,51.408544,-0.304427,518026,169088,TQ180690,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2003-11-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1DX,Yes,51.411811,-0.304637,518003,169451,TQ180694,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2007-07-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,22,6,E01002968
KT1 1ED,Yes,51.410351,-0.301945,518194,169293,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1EE,Yes,51.409136,-0.303126,518115,169156,TQ181691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",9,3,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1EG,Yes,51.410051,-0.302963,518124,169258,TQ181692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,15,6,E01002968
KT1 1EL,Yes,51.409426,-0.302612,518150,169189,TQ181691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1998-06-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1EP,Yes,51.408688,-0.304465,518023,169104,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1ER,Yes,51.408729,-0.304205,518041,169109,TQ180691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1992-08-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1ET,Yes,51.408839,-0.3062,517902,169118,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1EU,Yes,51.40772,-0.305939,517923,168994,TQ179689,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1EY,Yes,51.408735,-0.307066,517842,169105,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1HD,Yes,51.408735,-0.307066,517842,169105,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1HG,Yes,51.408719,-0.308461,517745,169101,TQ177691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",7,5,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,10,6,E01002968
KT1 1HH,Yes,51.407852,-0.30822,517764,169005,TQ177690,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1986-07-01,,"","",18,13,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,9,6,E01002968
KT1 1HL,Yes,51.408259,-0.307731,517797,169051,TQ177690,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",3,1,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,11,6,E01002968
KT1 1HN,Yes,51.407248,-0.308113,517773,168938,TQ177689,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",16,10,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,9,6,E01002968
KT1 1HR,Yes,51.40927,-0.307377,517819,169164,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2000-12-01,,"","",43,24,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,11,6,E01002968
KT1 1HS,Yes,51.408764,-0.307856,517787,169107,TQ177691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2000-12-01,,"","",137,85,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,11,6,E01002968
KT1 1HT,Yes,51.409251,-0.30791,517782,169161,TQ177691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2002-06-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,10,6,E01002968
KT1 1HU,Yes,51.409559,-0.30682,517857,169197,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2001-12-01,,"","",38,17,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1HW,Yes,51.407671,-0.308141,517770,168985,TQ177689,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,9,6,E01002968
KT1 1HX,Yes,51.409458,-0.30796,517778,169184,TQ177691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2002-06-01,,"","",156,77,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,10,6,E01002968
KT1 1HY,Yes,51.409742,-0.308294,517754,169215,TQ177692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",2002-06-01,,"","",9,4,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,8,6,E01002968
KT1 1HZ,Yes,51.409207,-0.304877,517993,169161,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1981-06-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1JB,Yes,51.40962,-0.305437,517953,169206,TQ179692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",6,4,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1JD,Yes,51.409754,-0.305418,517954,169221,TQ179692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1JE,Yes,51.409355,-0.305821,517927,169176,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",22,13,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1JH,Yes,51.409643,-0.305782,517929,169208,TQ179692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",7,2,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1JP,Yes,51.410073,-0.306312,517891,169255,TQ178692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",5,1,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,14,6,E01002968
KT1 1JQ,Yes,51.409206,-0.306071,517910,169159,TQ179691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",9,6,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
KT1 1JS,Yes,51.409811,-0.306264,517895,169226,TQ178692,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,13,6,E01002968
KT1 1JT,Yes,51.409153,-0.306763,517862,169152,TQ178691,"Greater London","Kingston upon Thames","Grove", E09000021,E05000408,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",10,5,"Greater London","Kingston upon Thames","Kingston upon Thames 009C","Urban major conurbation",London,12,6,E01002968
