Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
KW1 4AA,Yes,58.442288,-3.090783,336421,950959,ND364509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,9,,S01010782
KW1 4AB,Yes,58.442429,-3.091079,336404,950975,ND364509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,11,,S01010782
KW1 4AG,Yes,58.441839,-3.092945,336294,950911,ND362509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",,,"","","Wick North - 01","Very remote small town",,7,,S01010782
KW1 4AH,Yes,58.442287,-3.091999,336350,950960,ND363509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",4,3,"","","Wick North - 01","Very remote small town",,9,,S01010782
KW1 4AJ,Yes,58.442202,-3.092528,336319,950951,ND363509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",1,1,"","","Wick North - 01","Very remote small town",,8,,S01010782
KW1 4AP,Yes,58.441543,-3.092867,336298,950878,ND362508,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",6,4,"","","Wick North - 01","Very remote small town",,7,,S01010782
KW1 4AR,Yes,58.442596,-3.089405,336502,950992,ND365509,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1990-09-01,,"","",0,0,"","","Wick North - 01","Very remote small town",,10,,S01010782
KW1 4BP,Yes,58.442866,-3.0926,336316,951025,ND363510,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",0,0,"","","Wick North - 01","Very remote small town",,11,,S01010782
KW1 4BS,Yes,58.443392,-3.092976,336295,951084,ND362510,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",6,4,"","","Wick North - 01","Very remote small town",,12,,S01010782
KW1 4BY,Yes,58.444172,-3.093188,336284,951171,ND362511,"","Highland","Wick", S12000017,S13002664,Scotland,S99999999,"Caithness, Sutherland and Easter Ross",1980-01-01,,"","",25,15,"","","Wick North - 01","Very remote small town",,16,,S01010782
