Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
LA1 1AA,Yes,54.048155,-2.803827,347467,461653,SD474616,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2000-12-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,24,,E01033071
LA1 1AB,Yes,54.047946,-2.804235,347440,461630,SD474616,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",1980-01-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,25,,E01033071
LA1 1AD,Yes,54.054245,-2.807107,347260,462333,SD472623,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2002-05-01,,"","",85,37,"Lancaster/Morecambe","Lancaster","Lancaster 014C","Urban city and town",North West,10,,E01025099
LA1 1AE,Yes,54.046967,-2.804033,347452,461521,SD474615,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2004-03-01,,"","",73,42,"Lancaster/Morecambe","Lancaster","Lancaster 014F","Urban city and town",North West,23,,E01033073
LA1 1AF,Yes,54.047245,-2.796112,347971,461546,SD479615,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2004-05-01,,"","",59,25,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,24,,E01033071
LA1 1AG,Yes,54.046785,-2.796302,347958,461495,SD479614,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2004-02-01,,"","",45,29,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,25,,E01033071
LA1 1AH,Yes,54.05154,-2.802991,347526,462029,SD475620,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2004-05-01,,"","",129,80,"Lancaster/Morecambe","Lancaster","Lancaster 014C","Urban city and town",North West,15,,E01025099
LA1 1AJ,Yes,54.048341,-2.804167,347445,461674,SD474616,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2005-05-01,,"","",9,8,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,26,,E01033071
LA1 1AL,Yes,54.048065,-2.801168,347641,461641,SD476616,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",1995-12-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,21,,E01033071
LA1 1AN,Yes,54.045306,-2.801069,347644,461334,SD476613,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2007-07-01,,"","",8,5,"Lancaster/Morecambe","Lancaster","Lancaster 014F","Urban city and town",North West,26,,E01033073
LA1 1AP,Yes,54.053986,-2.808186,347189,462305,SD471623,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2014-04-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014C","Urban city and town",North West,11,,E01025099
LA1 1AQ,Yes,54.04488,-2.800312,347693,461286,SD476612,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2009-03-01,,"","",28,16,"Lancaster/Morecambe","Lancaster","Lancaster 014F","Urban city and town",North West,27,,E01033073
LA1 1AR,Yes,54.045032,-2.800453,347684,461303,SD476613,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2008-01-01,,"","",26,14,"Lancaster/Morecambe","Lancaster","Lancaster 014F","Urban city and town",North West,27,,E01033073
LA1 1AS,Yes,54.05077,-2.798455,347822,461940,SD478619,"Lancashire","Lancaster","Bulk", E07000121,E05009594,England,E10000017,"Lancaster and Fleetwood",2013-12-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014A","Urban city and town",North West,10,,E01025093
LA1 1AT,Yes,54.04619,-2.796596,347938,461429,SD479614,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2008-12-01,,"","",101,61,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,25,,E01033071
LA1 1AU,Yes,54.045655,-2.797303,347891,461370,SD478613,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2008-10-01,,"","",108,68,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,28,,E01033071
LA1 1AW,Yes,54.050026,-2.800869,347663,461859,SD476618,"Lancashire","Lancaster","Castle", E07000121,E05009596,England,E10000017,"Lancaster and Fleetwood",2016-01-01,,"","",,,"Lancaster/Morecambe","Lancaster","Lancaster 014E","Urban city and town",North West,15,,E01033071
LA1 1AY,Yes,54.051729,-2.801559,347620,462049,SD476620,"Lancashire","Lancaster","Bulk", E07000121,E05009594,England,E10000017,"Lancaster and Fleetwood",2002-06-01,,"","",86,51,"Lancaster/Morecambe","Lancaster","Lancaster 014A","Urban city and town",North West,7,,E01025093
