Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
LU1 1AA,Yes,51.879978,-0.422926,508653,221332,TL086213,"Bedfordshire","Luton","South", E06000032,E05002208,England,E11000001,"Luton South",1990-02-01,,"","",,,"Luton","Luton","Luton 018F","Urban city and town",East of England,125,,E01015794
LU1 1AR,Yes,51.880639,-0.424661,508532,221403,TL085214,"Bedfordshire","Luton","Dallow", E06000032,E05002198,England,E11000001,"Luton South",1996-06-01,,"","",180,37,"Luton","Luton","Luton 019C","Urban city and town",East of England,120,,E01015729
LU1 1BB,Yes,51.879756,-0.422527,508681,221308,TL086213,"Bedfordshire","Luton","South", E06000032,E05002208,England,E11000001,"Luton South",1980-01-01,,"","",,,"Luton","Luton","Luton 018F","Urban city and town",East of England,126,,E01015794
LU1 1BE,Yes,51.880914,-0.423722,508596,221435,TL085214,"Bedfordshire","Luton","Dallow", E06000032,E05002198,England,E11000001,"Luton South",1996-06-01,,"","",25,0,"Luton","Luton","Luton 019C","Urban city and town",East of England,119,,E01015729
LU1 1BH,Yes,51.879376,-0.422977,508651,221265,TL086212,"Bedfordshire","Luton","South", E06000032,E05002208,England,E11000001,"Luton South",2014-05-01,,"","",,,"Luton","Luton","Luton 018F","Urban city and town",East of England,128,,E01015794
LU1 1BL,Yes,51.87928,-0.424578,508541,221252,TL085212,"Bedfordshire","Luton","South", E06000032,E05002208,England,E11000001,"Luton South",2015-05-01,,"","",,,"Luton","Luton","Luton 018F","Urban city and town",East of England,126,,E01015794
LU1 1BN,Yes,51.882933,-0.426078,508429,221656,TL084216,"Bedfordshire","Luton","Dallow", E06000032,E05002198,England,E11000001,"Luton South",1980-01-01,,"","",,,"Luton","Luton","Luton 019C","Urban city and town",East of England,113,,E01015729
LU1 1BP,Yes,51.880181,-0.42135,508761,221357,TL087213,"Bedfordshire","Luton","South", E06000032,E05002208,England,E11000001,"Luton South",2015-04-01,,"","",,,"Luton","Luton","Luton 018F","Urban city and town",East of England,123,,E01015794
LU1 1BT,Yes,51.885215,-0.428642,508247,221906,TL082219,"Bedfordshire","Luton","Dallow", E06000032,E05002198,England,E11000001,"Luton South",1980-01-01,,"","",8,2,"Luton","Luton","Luton 017E","Urban city and town",East of England,112,,E01015725
LU1 1BU,Yes,51.882018,-0.430294,508141,221548,TL081215,"Bedfordshire","Luton","Dallow", E06000032,E05002198,England,E11000001,"Luton South",2016-04-01,,"","",,,"Luton","Luton","Luton 017F","Urban city and town",East of England,123,,E01015727
