Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
ML1 1AA,Yes,55.793574,-3.994949,275021,657387,NS750573,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",,,"","","Motherwell South - 03","Large urban area",,81,,S01011473
ML1 1AB,Yes,55.783966,-3.982816,275751,656296,NS757562,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2007-09-01,,"","",0,0,"","","Muirhouse and Knowetop - 09","Large urban area",,87,,S01011381
ML1 1AE,Yes,55.796047,-3.956262,277454,657593,NS774575,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2012-07-01,,"","",,,"","","Cleland - 05","Accessible rural area",,90,,S01011451
ML1 1AF,Yes,55.796335,-3.957377,277385,657627,NS773576,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2016-03-01,,"","",,,"","","Cleland - 05","Accessible rural area",,92,,S01011451
ML1 1AG,Yes,55.796592,-3.956481,277442,657654,NS774576,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2016-07-01,,"","",,,"","","Cleland - 05","Accessible rural area",,91,,S01011451
ML1 1AH,Yes,55.796572,-3.954342,277576,657648,NS775576,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2015-06-01,,"","",,,"","","Cleland - 05","Accessible rural area",,92,,S01011451
ML1 1AJ,Yes,55.795888,-3.955504,277501,657574,NS775575,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2015-08-01,,"","",,,"","","Cleland - 05","Accessible rural area",,91,,S01011451
ML1 1AL,Yes,55.795348,-3.956163,277458,657515,NS774575,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",2014-06-01,,"","",,,"","","Cleland - 05","Accessible rural area",,88,,S01011451
ML1 1AT,Yes,55.780884,-3.96767,276691,655926,NS766559,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1999-12-01,,"","",87,32,"","","Muirhouse and Knowetop - 02","Large urban area",,89,,S01011374
ML1 1AZ,Yes,55.792984,-3.990852,275276,657314,NS752573,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1990-12-01,,"","",,,"","","Motherwell South - 01","Large urban area",,82,,S01011471
ML1 1BA,Yes,55.78899,-3.991669,275212,656871,NS752568,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",,,"","","Motherwell South - 03","Large urban area",,82,,S01011473
ML1 1BB,Yes,55.790319,-3.993363,275110,657022,NS751570,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",0,0,"","","Motherwell South - 03","Large urban area",,85,,S01011473
ML1 1BH,Yes,55.790571,-3.993392,275109,657050,NS751570,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",0,0,"","","Motherwell South - 03","Large urban area",,85,,S01011473
ML1 1BN,Yes,55.791314,-3.993526,275103,657133,NS751571,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",16,4,"","","Motherwell South - 03","Large urban area",,84,,S01011473
ML1 1BP,Yes,55.794781,-3.996415,274933,657524,NS749575,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1985-11-01,,"","",0,0,"","","Forgewood - 04","Large urban area",,79,,S01011493
ML1 1BS,Yes,55.792785,-3.992644,275163,657295,NS751572,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",0,0,"","","Forgewood - 05","Large urban area",,82,,S01011494
ML1 1BT,Yes,55.792601,-3.993448,275112,657276,NS751572,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",2005-01-01,,"","",,,"","","Forgewood - 05","Large urban area",,82,,S01011494
ML1 1BW,Yes,55.790999,-3.993047,275132,657097,NS751570,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",,,"","","Motherwell South - 03","Large urban area",,84,,S01011473
ML1 1BX,Yes,55.794592,-3.996996,274896,657504,NS748575,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",0,0,"","","Forgewood - 04","Large urban area",,78,,S01011493
ML1 1BY,Yes,55.798561,-3.99388,275104,657940,NS751579,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",231,70,"","","Forgewood - 04","Large urban area",,79,,S01011493
ML1 1BZ,Yes,55.796707,-3.995732,274982,657737,NS749577,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1993-09-01,,"","",61,19,"","","Forgewood - 04","Large urban area",,77,,S01011493
ML1 1DB,Yes,55.798356,-3.994333,275075,657918,NS750579,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1992-05-01,,"","",64,19,"","","Forgewood - 04","Large urban area",,79,,S01011493
ML1 1DE,Yes,55.790999,-3.993047,275132,657097,NS751570,"","North Lanarkshire","Motherwell South East and Ravenscraig", S12000044,S13002729,Scotland,S99999999,"Motherwell and Wishaw",1982-04-01,,"","",,,"","","Motherwell South - 03","Large urban area",,84,,S01011473
ML1 1DF,Yes,55.797201,-3.996316,274947,657793,NS749577,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1992-05-01,,"","",141,44,"","","Forgewood - 04","Large urban area",,76,,S01011493
ML1 1DG,Yes,55.792835,-3.993955,275081,657303,NS750573,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",50,22,"","","Forgewood - 05","Large urban area",,81,,S01011494
ML1 1DH,Yes,55.795465,-3.99251,275180,657593,NS751575,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",77,36,"","","Forgewood - 05","Large urban area",,80,,S01011494
ML1 1DJ,Yes,55.795489,-3.991602,275237,657594,NS752575,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",19,8,"","","Forgewood - 05","Large urban area",,82,,S01011494
ML1 1DL,Yes,55.795982,-3.992775,275165,657651,NS751576,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",26,8,"","","Forgewood - 05","Large urban area",,80,,S01011494
ML1 1DN,Yes,55.796185,-3.997428,274874,657682,NS748576,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1992-05-01,,"","",12,5,"","","Forgewood - 04","Large urban area",,77,,S01011493
ML1 1DQ,Yes,55.793937,-3.993596,275107,657425,NS751574,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1980-01-01,,"","",79,37,"","","Forgewood - 05","Large urban area",,81,,S01011494
ML1 1DR,Yes,55.796103,-3.99527,275009,657669,NS750576,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1992-05-01,,"","",58,23,"","","Forgewood - 05","Large urban area",,78,,S01011494
ML1 1DS,Yes,55.79672,-3.994345,275069,657736,NS750577,"","North Lanarkshire","Motherwell North", S12000044,S13002728,Scotland,S99999999,"Motherwell and Wishaw",1992-05-01,,"","",66,21,"","","Forgewood - 05","Large urban area",,79,,S01011494
