Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
NP10 0AA,Yes,51.594706,-3.052314,327203,188953,ST272889,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",127,55,"Newport (Newport)","Newport","Newport 009A","Urban city and town",,86,,W01001669
NP10 0AB,Yes,51.595324,-3.049498,327399,189019,ST273890,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",55,24,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,91,,W01001673
NP10 0AD,Yes,51.598006,-3.051307,327278,189319,ST272893,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",30,14,"Newport (Newport)","Newport","Newport 009A","Urban city and town",,94,,W01001669
NP10 0AE,Yes,51.593393,-3.051316,327270,188806,ST272888,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",18,9,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,83,,W01001673
NP10 0AF,Yes,51.596599,-3.05575,326968,189167,ST269891,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",36,16,"Newport (Newport)","Newport","Newport 009B","Urban city and town",,87,,W01001670
NP10 0AG,Yes,51.594029,-3.052515,327188,188878,ST271888,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",25,10,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,83,,W01001673
NP10 0AH,Yes,51.594849,-3.0534,327128,188970,ST271889,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",9,4,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,85,,W01001673
NP10 0AJ,Yes,51.595944,-3.053526,327121,189092,ST271890,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",29,14,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,90,,W01001673
NP10 0AL,Yes,51.597748,-3.053929,327096,189293,ST270892,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",71,34,"Newport (Newport)","Newport","Newport 009A","Urban city and town",,94,,W01001669
NP10 0AN,Yes,51.594192,-3.053385,327128,188897,ST271888,"","Newport","Rogerstone", W06000022,W05000847,Wales,W99999999,"Newport West",1999-06-01,,"Rogerstone","",24,9,"Newport (Newport)","Newport","Newport 009D","Urban city and town",,80,,W01001673
