Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
NW1 0AA,Yes,51.536739,-0.139484,529135,183622,TQ291836,"Greater London","Camden","Regent's Park", E09000007,E05000142,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",113,34,"Greater London","Camden","Camden 021C","Urban major conurbation",London,29,2,E01000947
NW1 0AB,Yes,51.537353,-0.14018,529085,183689,TQ290836,"Greater London","Camden","Regent's Park", E09000007,E05000142,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",23,12,"Greater London","Camden","Camden 021C","Urban major conurbation",London,30,2,E01000947
NW1 0AD,Yes,51.537005,-0.140352,529074,183650,TQ290836,"Greater London","Camden","Regent's Park", E09000007,E05000142,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",9,6,"Greater London","Camden","Camden 021C","Urban major conurbation",London,30,2,E01000947
NW1 0AE,Yes,51.537544,-0.140374,529071,183710,TQ290837,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",45,23,"Greater London","Camden","Camden 019B","Urban major conurbation",London,30,2,E01000861
NW1 0AG,Yes,51.537772,-0.140538,529059,183735,TQ290837,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",2,1,"Greater London","Camden","Camden 019B","Urban major conurbation",London,31,2,E01000861
NW1 0AP,Yes,51.538772,-0.141823,528967,183844,TQ289838,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",4,2,"Greater London","Camden","Camden 021A","Urban major conurbation",London,32,2,E01000863
NW1 0AS,Yes,51.539194,-0.141734,528972,183891,TQ289838,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",10,6,"Greater London","Camden","Camden 019B","Urban major conurbation",London,31,2,E01000861
NW1 0AT,Yes,51.539212,-0.141748,528971,183893,TQ289838,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",36,25,"Greater London","Camden","Camden 019B","Urban major conurbation",London,31,2,E01000861
NW1 0AU,Yes,51.539332,-0.141397,528995,183907,TQ289839,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",8,3,"Greater London","Camden","Camden 019B","Urban major conurbation",London,30,2,E01000861
NW1 0AX,Yes,51.539641,-0.140476,529058,183943,TQ290839,"Greater London","Camden","Camden Town with Primrose Hill", E09000007,E05000130,England,E11000009,"Holborn and St Pancras",1980-01-01,,"","",90,38,"Greater London","Camden","Camden 019B","Urban major conurbation",London,29,2,E01000861
