Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
PR0 2AA,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2014-09-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AD,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2013-02-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AE,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2013-02-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AF,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2013-02-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AG,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2013-04-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AH,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2013-04-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AJ,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2014-06-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2AP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2007-05-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2BP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",1999-06-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2GP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2010-11-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2QP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",1995-01-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2RP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",1995-01-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2SP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",1995-01-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR0 2TP,Yes,53.758809,-2.683907,355008,429378,SD550293,"Lancashire","Preston","Fishwick", E07000123,E05005275,England,E10000017,"Preston",2001-06-01,,"","",,,"Preston","Preston","Preston 016A","Urban city and town",North West,38,,E01025247
PR1 0AD,Yes,53.750313,-2.728491,352059,428462,SD520284,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",12,5,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,26,,E01025426
PR1 0AE,Yes,53.753269,-2.725782,352241,428789,SD522287,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",51,18,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,26,,E01025426
PR1 0AG,Yes,53.753536,-2.726241,352211,428819,SD522288,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",2005-05-01,,"Penwortham","",9,3,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,25,,E01025426
PR1 0AH,Yes,53.753508,-2.724876,352301,428815,SD523288,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",27,14,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,26,,E01025426
PR1 0AJ,Yes,53.752275,-2.725234,352276,428678,SD522286,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",5,3,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,27,,E01025426
PR1 0AL,Yes,53.754326,-2.726452,352198,428907,SD521289,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",113,28,"Preston","Bamber Bridge","South Ribble 001B","Urban city and town",North West,25,,E01025425
PR1 0AN,Yes,53.754796,-2.726005,352228,428959,SD522289,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",18,10,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,23,,E01025426
PR1 0AP,Yes,53.752032,-2.728232,352078,428653,SD520286,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",41,18,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,26,,E01025426
PR1 0AQ,Yes,53.753168,-2.727585,352122,428779,SD521287,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",99,34,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,25,,E01025426
PR1 0AR,Yes,53.750989,-2.729761,351976,428538,SD519285,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",53,22,"Preston","Bamber Bridge","South Ribble 001C","Urban city and town",North West,27,,E01025426
PR1 0AS,Yes,53.753973,-2.728327,352074,428869,SD520288,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",78,42,"Preston","Bamber Bridge","South Ribble 001B","Urban city and town",North West,23,,E01025425
PR1 0AT,Yes,53.754494,-2.729731,351982,428928,SD519289,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",73,30,"Preston","Bamber Bridge","South Ribble 001B","Urban city and town",North West,25,,E01025425
PR1 0AU,Yes,53.755241,-2.729592,351992,429011,SD519290,"Lancashire","South Ribble","Howick & Priory", E07000126,E05010225,England,E10000017,"South Ribble",1980-01-01,,"Penwortham","",20,10,"Preston","Bamber Bridge","South Ribble 001B","Urban city and town",North West,21,,E01025425
