Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
RM1 1AA,Yes,51.577599,0.178261,551035,188774,TQ510887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2002-09-01,,"","",,,"Greater London","Havering","Havering 013C","Urban major conurbation",London,16,6,E01002356
RM1 1AF,Yes,51.577683,0.177615,550990,188782,TQ509887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2014-04-01,,"","",,,"Greater London","Havering","Havering 013C","Urban major conurbation",London,16,6,E01002356
RM1 1AH,Yes,51.577092,0.177515,550985,188716,TQ509887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2000-06-01,,"","",11,8,"Greater London","Havering","Havering 013C","Urban major conurbation",London,16,6,E01002356
RM1 1AJ,Yes,51.573054,0.183326,551401,188279,TQ514882,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2002-06-01,,"","",57,50,"Greater London","Havering","Havering 013C","Urban major conurbation",London,19,6,E01002356
RM1 1AL,Yes,51.572668,0.182773,551364,188235,TQ513882,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2001-12-01,,"","",25,20,"Greater London","Havering","Havering 013C","Urban major conurbation",London,17,6,E01002356
RM1 1AN,Yes,51.577587,0.178953,551083,188774,TQ510887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2001-06-01,,"","",62,35,"Greater London","Havering","Havering 013C","Urban major conurbation",London,17,6,E01002356
RM1 1AP,Yes,51.577749,0.17987,551146,188794,TQ511887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2001-12-01,,"","",51,28,"Greater London","Havering","Havering 013B","Urban major conurbation",London,18,6,E01002353
RM1 1AR,Yes,51.577362,0.179924,551151,188751,TQ511887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2002-06-01,,"","",111,58,"Greater London","Havering","Havering 013C","Urban major conurbation",London,18,6,E01002356
RM1 1AS,Yes,51.577545,0.178287,551037,188768,TQ510887,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2014-09-01,,"","",,,"Greater London","Havering","Havering 013C","Urban major conurbation",London,16,6,E01002356
RM1 1AU,Yes,51.575982,0.180118,551169,188598,TQ511885,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2001-06-01,,"","",,,"Greater London","Havering","Havering 013C","Urban major conurbation",London,13,6,E01002356
RM1 1BF,Yes,51.575669,0.182441,551331,188568,TQ513885,"Greater London","Havering","Romford Town", E09000016,E05000319,England,E11000009,"Romford",2015-01-01,,"","",,,"Greater London","Havering","Havering 013C","Urban major conurbation",London,17,6,E01002356
