Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SG1 1AA,Yes,51.896085,-0.203001,523746,223474,TL237234,"Hertfordshire","Stevenage","Roebuck", E07000243,E05004813,England,E10000015,"Stevenage",1991-01-01,,"","",,,"Stevenage","Stevenage","Stevenage 011D","Urban city and town",East of England,91,,E01023786
SG1 1AB,Yes,51.901741,-0.193676,524372,224119,TL243241,"Hertfordshire","Stevenage","Bedwell", E07000243,E05004806,England,E10000015,"Stevenage",2009-05-01,,"","",34,12,"Stevenage","Stevenage","Stevenage 008C","Urban city and town",East of England,102,,E01023757
SG1 1AF,Yes,51.902715,-0.203841,523670,224210,TL236242,"Hertfordshire","Stevenage","Bedwell", E07000243,E05004806,England,E10000015,"Stevenage",1993-01-01,,"","",,,"Stevenage","Stevenage","Stevenage 008D","Urban city and town",East of England,96,,E01023758
SG1 1AG,Yes,51.905963,-0.208669,523329,224563,TL233245,"Hertfordshire","Stevenage","Old Town", E07000243,E05004811,England,E10000015,"Stevenage",2002-06-01,,"","",,,"Stevenage","Stevenage","Stevenage 002A","Urban city and town",East of England,96,,E01023776
SG1 1AP,Yes,51.905963,-0.208669,523329,224563,TL233245,"Hertfordshire","Stevenage","Old Town", E07000243,E05004811,England,E10000015,"Stevenage",2016-02-01,,"","",,,"Stevenage","Stevenage","Stevenage 002A","Urban city and town",East of England,96,,E01023776
SG1 1AS,Yes,51.897825,-0.203935,523677,223666,TL236236,"Hertfordshire","Stevenage","Roebuck", E07000243,E05004813,England,E10000015,"Stevenage",2016-09-01,,"","",,,"Stevenage","Stevenage","Stevenage 011D","Urban city and town",East of England,,,E01023786
SG1 1AT,Yes,51.897825,-0.203935,523677,223666,TL236236,"Hertfordshire","Stevenage","Roebuck", E07000243,E05004813,England,E10000015,"Stevenage",2016-04-01,,"","",,,"Stevenage","Stevenage","Stevenage 011D","Urban city and town",East of England,94,,E01023786
SG1 1AU,Yes,51.897733,-0.20436,523648,223655,TL236236,"Hertfordshire","Stevenage","Roebuck", E07000243,E05004813,England,E10000015,"Stevenage",2016-04-01,,"","",,,"Stevenage","Stevenage","Stevenage 011D","Urban city and town",East of England,93,,E01023786
SG1 1AW,Yes,51.897825,-0.203935,523677,223666,TL236236,"Hertfordshire","Stevenage","Roebuck", E07000243,E05004813,England,E10000015,"Stevenage",2016-10-01,,"","",,,"Stevenage","Stevenage","Stevenage 011D","Urban city and town",East of England,94,,E01023786
SG1 1BG,Yes,51.902241,-0.202799,523743,224159,TL237241,"Hertfordshire","Stevenage","Bedwell", E07000243,E05004806,England,E10000015,"Stevenage",1980-01-01,,"","",,,"Stevenage","Stevenage","Stevenage 008D","Urban city and town",East of England,95,,E01023758
