Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SM1 1AA,Yes,51.359911,-0.193038,525906,163865,TQ259638,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1990-02-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,67,5,E01004142
SM1 1AG,Yes,51.361754,-0.195379,525738,164066,TQ257640,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",2010-04-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,60,5,E01004142
SM1 1AL,Yes,51.359911,-0.193038,525906,163865,TQ259638,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",2001-12-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,67,5,E01004142
SM1 1AP,Yes,51.369872,-0.194629,525768,164970,TQ257649,"Greater London","Sutton","Sutton North", E09000029,E05000565,England,E11000009,"Sutton and Cheam",2016-10-01,,"","",,,"Greater London","Sutton","Sutton 007C","Urban major conurbation",London,,4,E01004146
SM1 1AT,Yes,51.363515,-0.194075,525824,164264,TQ258642,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1993-01-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,54,5,E01004142
SM1 1AW,Yes,51.364743,-0.1944,525798,164400,TQ257644,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1992-08-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,50,5,E01004142
SM1 1AX,Yes,51.364752,-0.194414,525797,164401,TQ257644,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1992-08-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,51,5,E01004142
SM1 1AY,Yes,51.365077,-0.194501,525790,164437,TQ257644,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1992-08-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,50,5,E01004142
SM1 1AZ,Yes,51.364653,-0.195552,525718,164388,TQ257643,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1992-08-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,49,5,E01004142
SM1 1BA,Yes,51.359744,-0.192729,525928,163847,TQ259638,"Greater London","Sutton","Sutton Central", E09000029,E05000564,England,E11000009,"Sutton and Cheam",1980-01-01,,"","",,,"Greater London","Sutton","Sutton 012D","Urban major conurbation",London,68,5,E01004142
