Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SP1 1AD,Yes,51.074305,-1.769588,416239,130578,SU162305,"Wiltshire","Wiltshire","Laverstock, Ford and Old Sarum", E06000054,E05008367,England,E11000020,"Salisbury",2008-03-01,,"Laverstock","",19,8,"Salisbury","","Wiltshire 057B","Urban city and town",South West,77,,E01032011
SP1 1AF,Yes,51.073984,-1.771074,416135,130542,SU161305,"Wiltshire","Wiltshire","Laverstock, Ford and Old Sarum", E06000054,E05008367,England,E11000020,"Salisbury",2008-04-01,,"Laverstock","",11,6,"Salisbury","","Wiltshire 057B","Urban city and town",South West,68,,E01032011
SP1 1AG,Yes,51.069213,-1.792449,414639,130007,SU146300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",2016-08-01,,"Salisbury","",,,"Salisbury","","Wiltshire 058C","Urban city and town",South West,,,E01032022
SP1 1BA,Yes,51.069365,-1.797129,414311,130023,SU143300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",11,3,"Salisbury","","Wiltshire 058C","Urban city and town",South West,50,,E01032022
SP1 1BB,Yes,51.070101,-1.79627,414371,130105,SU143301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",8,4,"Salisbury","","Wiltshire 056A","Urban city and town",South West,51,,E01032014
SP1 1BD,Yes,51.069438,-1.797857,414260,130031,SU142300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1986-07-01,,"Salisbury","",11,9,"Salisbury","","Wiltshire 056A","Urban city and town",South West,49,,E01032014
SP1 1BG,Yes,51.070378,-1.795284,414440,130136,SU144301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",5,2,"Salisbury","","Wiltshire 056A","Urban city and town",South West,50,,E01032014
SP1 1BL,Yes,51.069833,-1.797099,414313,130075,SU143300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",,,"Salisbury","","Wiltshire 056A","Urban city and town",South West,51,,E01032014
SP1 1BN,Yes,51.07109,-1.796123,414381,130215,SU143302,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",1,0,"Salisbury","","Wiltshire 056A","Urban city and town",South West,49,,E01032014
SP1 1BT,Yes,51.069644,-1.797271,414301,130054,SU143300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1995-07-01,,"Salisbury","",,,"Salisbury","","Wiltshire 056A","Urban city and town",South West,50,,E01032014
SP1 1DA,Yes,51.070082,-1.795656,414414,130103,SU144301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",5,2,"Salisbury","","Wiltshire 056A","Urban city and town",South West,51,,E01032014
SP1 1DB,Yes,51.071255,-1.803601,413857,130232,SU138302,"Wiltshire","Wiltshire","Salisbury St Paul's", E06000054,E05008393,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",,,"Salisbury","","Wiltshire 055D","Urban city and town",South West,50,,E01032024
SP1 1DE,Yes,51.070072,-1.795285,414440,130102,SU144301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",,,"Salisbury","","Wiltshire 056A","Urban city and town",South West,51,,E01032014
SP1 1DF,Yes,51.069873,-1.794758,414477,130080,SU144300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",,,"Salisbury","","Wiltshire 056A","Urban city and town",South West,50,,E01032014
SP1 1DL,Yes,51.069972,-1.794529,414493,130091,SU144300,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",15,2,"Salisbury","","Wiltshire 056A","Urban city and town",South West,50,,E01032014
SP1 1DP,Yes,51.070943,-1.794468,414497,130199,SU144301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",16,12,"Salisbury","","Wiltshire 056A","Urban city and town",South West,50,,E01032014
SP1 1DT,Yes,51.070717,-1.793941,414534,130174,SU145301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",18,11,"Salisbury","","Wiltshire 056A","Urban city and town",South West,49,,E01032014
SP1 1DU,Yes,51.0706,-1.793713,414550,130161,SU145301,"Wiltshire","Wiltshire","Salisbury St Edmund and Milford", E06000054,E05008389,England,E11000020,"Salisbury",1980-01-01,,"Salisbury","",,,"Salisbury","","Wiltshire 056A","Urban city and town",South West,49,,E01032014
