Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SS0 0AA,Yes,51.552159,0.6778,585748,187095,TQ857870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",96,37,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,29,,E01015822
SS0 0AB,Yes,51.555076,0.67611,585619,187415,TQ856874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",61,27,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,39,,E01015858
SS0 0AD,Yes,51.555342,0.677439,585710,187448,TQ857874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",41,16,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,38,,E01015858
SS0 0AE,Yes,51.556053,0.676629,585651,187525,TQ856875,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",58,21,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,40,,E01015858
SS0 0AF,Yes,51.555214,0.678311,585771,187436,TQ857874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",76,37,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,37,,E01015858
SS0 0AG,Yes,51.556263,0.677291,585696,187550,TQ856875,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",25,14,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,39,,E01015858
SS0 0AH,Yes,51.558434,0.679885,585867,187798,TQ858877,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",86,28,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,31,,E01015858
SS0 0AJ,Yes,51.559266,0.680887,585933,187893,TQ859878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",21,13,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,25,,E01015858
SS0 0AL,Yes,51.555466,0.679119,585826,187466,TQ858874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",68,25,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,37,,E01015858
SS0 0AN,Yes,51.552791,0.678486,585793,187167,TQ857871,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",70,23,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,31,,E01015822
SS0 0AP,Yes,51.560045,0.68024,585885,187978,TQ858879,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1992-01-01,,"","",24,8,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,24,,E01015858
SS0 0AQ,Yes,51.55839,0.679075,585811,187791,TQ858877,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",107,31,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,32,,E01015858
SS0 0AU,Yes,51.551827,0.675025,585557,187051,TQ855870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",45,16,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,28,,E01015822
SS0 0AW,Yes,51.551563,0.678327,585787,187030,TQ857870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",43,24,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,27,,E01015822
SS0 0AX,Yes,51.551385,0.675085,585563,187002,TQ855870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",72,29,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,27,,E01015822
SS0 0AY,Yes,51.552623,0.675995,585621,187142,TQ856871,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",120,39,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,30,,E01015822
SS0 0BA,Yes,51.553818,0.674492,585512,187271,TQ855872,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",35,14,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,36,,E01015822
SS0 0BB,Yes,51.553676,0.676778,585671,187261,TQ856872,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",40,14,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,35,,E01015822
SS0 0BD,Yes,51.554185,0.677313,585706,187319,TQ857873,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",18,7,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,35,,E01015858
SS0 0BE,Yes,51.554361,0.67552,585581,187334,TQ855873,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",45,16,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,37,,E01015857
SS0 0BF,Yes,51.562265,0.667283,584978,188192,TQ849881,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",2012-12-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005E","Urban city and town",East of England,23,,E01015824
SS0 0BG,Yes,51.555814,0.674105,585477,187492,TQ854874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",82,28,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,42,,E01015857
SS0 0BH,Yes,51.554287,0.673236,585423,187320,TQ854873,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",38,12,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,39,,E01015857
SS0 0BJ,Yes,51.555225,0.672728,585384,187423,TQ853874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",47,20,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,42,,E01015857
SS0 0BL,Yes,51.555202,0.67215,585344,187419,TQ853874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",60,21,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,42,,E01015857
SS0 0BN,Yes,51.55413,0.671842,585327,187299,TQ853872,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",7,5,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,39,,E01015857
SS0 0BP,Yes,51.552953,0.669407,585163,187162,TQ851871,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1988-03-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005A","Urban city and town",East of England,37,,E01015820
SS0 0BQ,Yes,51.55579,0.674781,585524,187491,TQ855874,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",80,26,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,41,,E01015857
SS0 0BS,Yes,51.552407,0.667702,585047,187097,TQ850870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005A","Urban city and town",East of England,37,,E01015820
SS0 0BT,Yes,51.553677,0.672392,585367,187250,TQ853872,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",26,11,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,37,,E01015822
SS0 0BU,Yes,51.552374,0.673499,585449,187108,TQ854871,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",102,38,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,31,,E01015822
SS0 0BW,Yes,51.55452,0.670523,585234,187339,TQ852873,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005E","Urban city and town",East of England,40,,E01015824
SS0 0BX,Yes,51.552962,0.672192,585356,187170,TQ853871,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",8,4,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,35,,E01015822
SS0 0BY,Yes,51.551762,0.671934,585343,187036,TQ853870,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",89,32,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005C","Urban city and town",East of England,31,,E01015822
SS0 0DH,Yes,51.557032,0.675532,585571,187631,TQ855876,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",92,37,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,40,,E01015857
SS0 0DJ,Yes,51.557419,0.675887,585594,187675,TQ855876,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",82,35,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,39,,E01015857
SS0 0DL,Yes,51.559161,0.67837,585759,187875,TQ857878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",44,25,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,30,,E01015858
SS0 0DN,Yes,51.558127,0.677992,585737,187759,TQ857877,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",10,5,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,34,,E01015857
SS0 0DP,Yes,51.5569,0.671831,585315,187607,TQ853876,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",81,35,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,44,,E01015857
SS0 0DR,Yes,51.556976,0.673221,585411,187619,TQ854876,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",51,23,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,42,,E01015857
SS0 0DS,Yes,51.558735,0.67064,585225,187808,TQ852878,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",65,26,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005E","Urban city and town",East of England,39,,E01015824
SS0 0DU,Yes,51.558156,0.671198,585266,187745,TQ852877,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",34,12,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,41,,E01015857
SS0 0DW,Yes,51.558946,0.677578,585705,187849,TQ857878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",78,30,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,31,,E01015857
SS0 0DX,Yes,51.559135,0.671255,585266,187854,TQ852878,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",63,30,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005E","Urban city and town",East of England,37,,E01015824
SS0 0DY,Yes,51.559219,0.673078,585392,187868,TQ853878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",18,10,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,36,,E01015857
SS0 0DZ,Yes,51.559336,0.675451,585556,187887,TQ855878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",72,32,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,31,,E01015857
SS0 0EA,Yes,51.559349,0.673706,585435,187884,TQ854878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",50,28,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,34,,E01015857
SS0 0EB,Yes,51.559794,0.674685,585501,187936,TQ855879,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",53,27,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,31,,E01015857
SS0 0ED,Yes,51.560841,0.674919,585513,188053,TQ855880,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",39,20,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,29,,E01015857
SS0 0EE,Yes,51.560226,0.67585,585580,187987,TQ855879,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",57,19,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,29,,E01015857
SS0 0EF,Yes,51.559158,0.676148,585605,187869,TQ856878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",85,36,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,31,,E01015857
SS0 0EG,Yes,51.558609,0.676577,585637,187809,TQ856878,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",39,17,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,33,,E01015857
SS0 0EJ,Yes,51.562356,0.683406,586095,188243,TQ860882,"Essex","Southend-on-Sea","St Laurence", E06000033,E05002220,England,E10000012,"Southend West",2003-03-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 002C","Urban city and town",East of England,16,,E01015865
SS0 0EL,Yes,51.550937,0.691101,586675,186993,TQ866869,"Essex","Southend-on-Sea","Westborough", E06000033,E05002226,England,E10000012,"Southend West",2016-02-01,,"","",,,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 007D","Urban city and town",East of England,21,,E01015904
SS0 0EN,Yes,51.560409,0.679641,585842,188017,TQ858880,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",2007-07-01,,"","",28,12,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004B","Urban city and town",East of England,23,,E01015858
SS0 0EQ,Yes,51.558262,0.67559,585570,187768,TQ855877,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",54,24,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,36,,E01015857
SS0 0ER,Yes,51.561919,0.674982,585513,188173,TQ855881,"Essex","Southend-on-Sea","Prittlewell", E06000033,E05002219,England,E10000012,"Southend West",1980-01-01,,"","",20,9,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 004A","Urban city and town",East of England,27,,E01015857
SS0 0ES,Yes,51.562499,0.673574,585413,188234,TQ854882,"Essex","Southend-on-Sea","Blenheim Park", E06000033,E05002213,England,E10000012,"Southend West",1980-01-01,,"","",35,12,"Southend-on-Sea","Southend-on-Sea","Southend-on-Sea 005E","Urban city and town",East of England,24,,E01015824
