Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SY1 1AA,Yes,52.713149,-2.749116,349490,313095,SJ494130,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-02-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,57,,E01028946
SY1 1AD,Yes,52.705462,-2.750598,349381,312241,SJ493122,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",2010-12-01,,"Shrewsbury","",2,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,56,,E01028946
SY1 1AF,Yes,52.708259,-2.756182,349007,312556,SJ490125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",2016-05-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,62,,E01028946
SY1 1BN,Yes,52.709603,-2.752578,349252,312703,SJ492127,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-07-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,72,,E01028946
SY1 1BP,Yes,52.709621,-2.752534,349255,312705,SJ492127,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-07-01,,"Shrewsbury","",2,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,72,,E01028946
SY1 1BU,Yes,52.708728,-2.754428,349126,312607,SJ491126,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-02-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1BW,Yes,52.709603,-2.752578,349252,312703,SJ492127,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-07-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,72,,E01028946
SY1 1BX,Yes,52.708872,-2.754505,349121,312623,SJ491126,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-02-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1BY,Yes,52.708896,-2.75492,349093,312626,SJ490126,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1990-02-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,62,,E01028946
SY1 1DB,Yes,52.708388,-2.754274,349136,312569,SJ491125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1DD,Yes,52.708426,-2.753905,349161,312573,SJ491125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,69,,E01028946
SY1 1DF,Yes,52.707699,-2.750917,349362,312490,SJ493124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",2006-01-01,,"Shrewsbury","",17,12,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,71,,E01028946
