Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
TQ1 1AG,Yes,50.463036,-3.525528,291819,63690,SX918636,"Devon","Torbay","Tormohun", E06000027,E05002110,England,E10000008,"Torbay",2008-04-01,,"","",7,3,"Paignton/Torquay","Torquay","Torbay 008C","Urban city and town",South West,26,,E01015256
TQ1 1AH,Yes,50.461364,-3.518557,292310,63494,SX923634,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",2008-11-01,,"","",12,9,"Paignton/Torquay","Torquay","Torbay 010A","Urban city and town",South West,28,,E01015267
TQ1 1AJ,Yes,50.463471,-3.522527,292033,63734,SX920637,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",2010-03-01,,"","",,,"Paignton/Torquay","Torquay","Torbay 010A","Urban city and town",South West,55,,E01015267
TQ1 1AL,Yes,50.463764,-3.5221,292064,63766,SX920637,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",2011-05-01,,"","",,,"Paignton/Torquay","Torquay","Torbay 010D","Urban city and town",South West,60,,E01015270
TQ1 1AN,Yes,50.464923,-3.511907,292790,63880,SX927638,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",2016-02-01,,"","",,,"Paignton/Torquay","Torquay","Torbay 010B","Urban city and town",South West,61,,E01015268
TQ1 1BA,Yes,50.463682,-3.526296,291766,63763,SX917637,"Devon","Torbay","Tormohun", E06000027,E05002110,England,E10000008,"Torbay",2001-06-01,,"","",52,17,"Paignton/Torquay","Torquay","Torbay 008C","Urban city and town",South West,25,,E01015256
TQ1 1BB,Yes,50.464993,-3.526479,291756,63909,SX917639,"Devon","Torbay","Ellacombe", E06000027,E05002103,England,E10000008,"Torbay",1980-01-01,,"","",,,"Paignton/Torquay","Torquay","Torbay 008A","Urban city and town",South West,23,,E01015217
TQ1 1BG,Yes,50.463415,-3.526132,291777,63733,SX917637,"Devon","Torbay","Tormohun", E06000027,E05002110,England,E10000008,"Torbay",1980-01-01,,"","",57,28,"Paignton/Torquay","Torquay","Torbay 008C","Urban city and town",South West,28,,E01015256
TQ1 1BH,Yes,50.463099,-3.524854,291867,63696,SX918636,"Devon","Torbay","Tormohun", E06000027,E05002110,England,E10000008,"Torbay",1980-01-01,,"","",13,7,"Paignton/Torquay","Torquay","Torbay 008C","Urban city and town",South West,32,,E01015256
TQ1 1BJ,Yes,50.462669,-3.524685,291878,63648,SX918636,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",1980-01-01,,"","",5,2,"Paignton/Torquay","Torquay","Torbay 010A","Urban city and town",South West,25,,E01015267
TQ1 1BL,Yes,50.463008,-3.524936,291861,63686,SX918636,"Devon","Torbay","Wellswood", E06000027,E05002112,England,E10000008,"Torbay",1980-01-01,,"","",,,"Paignton/Torquay","Torquay","Torbay 010A","Urban city and town",South West,29,,E01015267
