Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
TR1 1AA,Yes,50.25529,-5.046108,182961,43918,SW829439,"Cornwall","Cornwall","Truro Redannick", E06000052,E05009276,England,E11000006,"Truro and Falmouth",1990-02-01,,"Truro","",,,"Truro","Truro","Cornwall 044A","Urban city and town",South West,12,,E01018807
TR1 1AF,Yes,50.271017,-5.03434,183871,45632,SW838456,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",1999-06-01,,"Truro","",107,64,"Truro","Truro","Cornwall 042C","Urban city and town",South West,62,,E01018853
TR1 1AG,Yes,50.26752,-5.032868,183960,45239,SW839452,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2001-12-01,,"Truro","",46,17,"Truro","Truro","Cornwall 042C","Urban city and town",South West,52,,E01018853
TR1 1AH,Yes,50.269013,-5.034591,183844,45410,SW838454,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",1999-06-01,,"Truro","",50,20,"Truro","Truro","Cornwall 042C","Urban city and town",South West,47,,E01018853
TR1 1AJ,Yes,50.269299,-5.033964,183890,45440,SW838454,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2000-06-01,,"Truro","",29,13,"Truro","Truro","Cornwall 042C","Urban city and town",South West,53,,E01018853
TR1 1AL,Yes,50.258976,-5.043453,183167,44320,SW831443,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2000-06-01,,"Truro","",70,26,"Truro","Truro","Cornwall 042D","Urban city and town",South West,33,,E01018854
TR1 1AN,Yes,50.267249,-5.033244,183932,45210,SW839452,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2001-12-01,,"Truro","",55,19,"Truro","Truro","Cornwall 042C","Urban city and town",South West,48,,E01018853
TR1 1AP,Yes,50.266128,-5.033818,183886,45087,SW838450,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2005-01-01,,"Truro","",52,17,"Truro","Truro","Cornwall 042C","Urban city and town",South West,50,,E01018853
TR1 1AQ,Yes,50.265439,-5.032652,183966,45007,SW839450,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2003-06-01,,"Truro","",88,32,"Truro","Truro","Cornwall 042C","Urban city and town",South West,64,,E01018853
TR1 1AR,Yes,50.268303,-5.032834,183966,45326,SW839453,"Cornwall","Cornwall","Truro Tregolls", E06000052,E05009277,England,E11000006,"Truro and Falmouth",2002-11-01,,"Truro","",47,15,"Truro","Truro","Cornwall 042C","Urban city and town",South West,53,,E01018853
