Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
WD17 1AA,Yes,51.656876,-0.398675,510867,196557,TQ108965,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-10-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,79,,E01023861
WD17 1AB,Yes,51.664772,-0.396083,511027,197439,TQ110974,"Hertfordshire","Watford","Callowland", E07000103,E05011046,England,E10000015,"Watford",2000-10-01,,"","",,,"Greater London","Watford","Watford 006A","Urban major conurbation",East of England,71,,E01023855
WD17 1AD,Yes,51.656766,-0.398491,510880,196545,TQ108965,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-12-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,79,,E01023861
WD17 1AF,Yes,51.664669,-0.399108,510818,197423,TQ108974,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2001-06-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,73,,E01023861
WD17 1AH,Yes,51.657878,-0.400259,510755,196666,TQ107966,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-10-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,78,,E01023861
WD17 1AP,Yes,51.663676,-0.398796,510842,197313,TQ108973,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-10-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,73,,E01023861
WD17 1AR,Yes,51.664146,-0.398953,510830,197365,TQ108973,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-12-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,73,,E01023861
WD17 1AU,Yes,51.658839,-0.401468,510669,196771,TQ106967,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-10-01,,"","",,,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,78,,E01023861
WD17 1AW,Yes,51.658401,-0.40105,510699,196723,TQ106967,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2000-10-01,,"","",1,0,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,78,,E01023861
WD17 1AY,Yes,51.657469,-0.399926,510779,196621,TQ107966,"Hertfordshire","Watford","Central", E07000103,E05011047,England,E10000015,"Watford",2001-06-01,,"","",1,1,"Greater London","Watford","Watford 009C","Urban major conurbation",East of England,79,,E01023861
