Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
WF1 1AA,Yes,53.679476,-1.50093,433063,420450,SE330204,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1990-02-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,30,,E01011916
WF1 1AD,Yes,53.682275,-1.495446,433423,420764,SE334207,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",2011-05-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,42,,E01011916
WF1 1AH,Yes,53.68252,-1.493763,433534,420792,SE335207,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",2003-02-01,,"","",14,8,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,38,,E01011916
WF1 1AJ,Yes,53.678527,-1.495385,433430,420347,SE334203,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",2014-02-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,28,,E01011916
WF1 1AL,Yes,53.678302,-1.495372,433431,420322,SE334203,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",2014-02-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,28,,E01011916
WF1 1BA,Yes,53.681083,-1.500532,433088,420629,SE330206,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1980-01-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,44,,E01011916
WF1 1BB,Yes,53.680725,-1.501036,433055,420589,SE330205,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1995-01-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,40,,E01011916
WF1 1BD,Yes,53.68184,-1.501129,433048,420713,SE330207,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1980-01-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,49,,E01011916
WF1 1BW,Yes,53.682109,-1.500883,433064,420743,SE330207,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1980-01-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,51,,E01011916
WF1 1DD,Yes,53.681692,-1.500116,433115,420697,SE331206,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",1997-06-01,,"","",,,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,49,,E01011916
WF1 1DE,Yes,53.679038,-1.499451,433161,420402,SE331204,"West Yorkshire","Wakefield","Wakefield North", E08000036,E05001460,England,E11000019,"Wakefield",2007-11-01,,"","",128,78,"West Yorkshire","Wakefield","Wakefield 017D","Urban major conurbation",Yorkshire and The Humber,28,,E01011916
