Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
WN1 1AA,Yes,53.546971,-2.635089,358016,405780,SD580057,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1990-02-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,39,,E01006369
WN1 1AD,Yes,53.545429,-2.632652,358176,405607,SD581056,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,45,,E01006369
WN1 1AE,Yes,53.549632,-2.628247,358472,406072,SD584060,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1990-07-01,,"","",,,"Wigan","Wigan","Wigan 006A","Urban major conurbation",North West,42,,E01006370
WN1 1AH,Yes,53.548674,-2.629168,358410,405966,SD584059,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 006A","Urban major conurbation",North West,38,,E01006370
WN1 1AJ,Yes,53.547912,-2.632311,358201,405883,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AL,Yes,53.547594,-2.63122,358273,405847,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,40,,E01006369
WN1 1AN,Yes,53.547325,-2.632785,358169,405818,SD581058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,42,,E01006369
WN1 1AR,Yes,53.548263,-2.632196,358209,405922,SD582059,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AS,Yes,53.547886,-2.63216,358211,405880,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",2,1,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AT,Yes,53.547385,-2.631624,358246,405824,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AU,Yes,53.547236,-2.632648,358178,405808,SD581058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,42,,E01006369
WN1 1AW,Yes,53.548356,-2.633193,358143,405933,SD581059,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AX,Yes,53.547654,-2.631704,358241,405854,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-01-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AY,Yes,53.547491,-2.632048,358218,405836,SD582058,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1991-09-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1AZ,Yes,53.545849,-2.62967,358374,405652,SD583056,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1990-02-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1BA,Yes,53.544427,-2.633497,358119,405496,SD581054,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1980-01-01,,"","",1,0,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,39,,E01006369
WN1 1BB,Yes,53.544743,-2.633185,358140,405531,SD581055,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1980-01-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,41,,E01006369
WN1 1BE,Yes,53.544502,-2.632804,358165,405504,SD581055,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",1980-01-01,,"","",1,1,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,39,,E01006369
WN1 1BH,Yes,53.546579,-2.629364,358395,405733,SD583057,"Greater Manchester","Wigan","Wigan Central", E08000010,E05000861,England,E11000010,"Wigan",2007-04-01,,"","",,,"Wigan","Wigan","Wigan 008C","Urban major conurbation",North West,40,,E01006369
