Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
WS1 1AA,Yes,52.585784,-1.981345,401361,298664,SP013986,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2000-12-01,,"","",4,2,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1AB,Yes,52.589065,-1.978967,401522,299029,SP015990,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2010-12-01,,"","",,,"West Midlands","Walsall","Walsall 024B","Urban major conurbation",West Midlands,130,,E01010318
WS1 1AE,Yes,52.585739,-1.979869,401461,298659,SP014986,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2014-02-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,128,,E01010368
WS1 1DA,Yes,52.585541,-1.981449,401354,298637,SP013986,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,126,,E01010368
WS1 1DB,Yes,52.586467,-1.980873,401393,298740,SP013987,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1990-02-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,128,,E01010368
WS1 1DD,Yes,52.585604,-1.981419,401356,298644,SP013986,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1DE,Yes,52.584642,-1.980076,401447,298537,SP014985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,128,,E01010368
WS1 1DG,Yes,52.586386,-1.980858,401394,298731,SP013987,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1DH,Yes,52.586269,-1.979367,401495,298718,SP014987,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1DP,Yes,52.584759,-1.980829,401396,298550,SP013985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",41,30,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,126,,E01010368
WS1 1DQ,Yes,52.586386,-1.980858,401394,298731,SP013987,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1EG,Yes,52.588238,-1.978614,401546,298937,SP015989,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2003-11-01,,"","",61,37,"West Midlands","Walsall","Walsall 024D","Urban major conurbation",West Midlands,131,,E01010369
WS1 1EJ,Yes,52.584651,-1.980032,401450,298538,SP014985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1985-10-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,128,,E01010368
WS1 1EN,Yes,52.588579,-1.978481,401555,298975,SP015989,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2003-11-01,,"","",112,71,"West Midlands","Walsall","Walsall 024D","Urban major conurbation",West Midlands,132,,E01010369
WS1 1EP,Yes,52.584525,-1.980224,401437,298524,SP014985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,128,,E01010368
WS1 1ER,Yes,52.584642,-1.983589,401209,298537,SP012985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030C","Urban major conurbation",West Midlands,127,,E01010371
WS1 1EU,Yes,52.586386,-1.980858,401394,298731,SP013987,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2002-06-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
WS1 1EW,Yes,52.584372,-1.980947,401388,298507,SP013985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",2001-06-01,,"","",20,16,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,126,,E01010368
WS1 1EX,Yes,52.584525,-1.980623,401410,298524,SP014985,"West Midlands","Walsall","St Matthew's", E08000030,E05001316,England,E11000018,"Walsall South",1980-01-01,,"","",,,"West Midlands","Walsall","Walsall 030A","Urban major conurbation",West Midlands,127,,E01010368
