Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
ZE1 0AA,Yes,60.153223,-1.141595,447759,1141280,HU477412,"","Shetland Islands","Lerwick North", S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396
ZE1 0AB,Yes,60.152964,-1.140323,447830,1141252,HU478412,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",18,8,"","","Lerwick North - 02","Very remote small town",,2,,S01012396
ZE1 0AD,Yes,60.153223,-1.141595,447759,1141280,HU477412,"","Shetland Islands","Lerwick North", S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1992-10-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396
ZE1 0AE,Yes,60.152654,-1.140998,447793,1141217,HU477412,"","Shetland Islands","Lerwick North", S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",10,5,"","","Lerwick North - 02","Very remote small town",,3,,S01012396
ZE1 0AF,Yes,60.152354,-1.137746,447974,1141186,HU479411,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",20,12,"","","Lerwick North - 03","Very remote small town",,3,,S01012397
ZE1 0AG,Yes,60.152394,-1.139672,447867,1141189,HU478411,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",35,14,"","","Lerwick North - 03","Very remote small town",,4,,S01012397
ZE1 0AH,Yes,60.151337,-1.137304,448000,1141073,HU480410,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",11,5,"","","Lerwick North - 03","Very remote small town",,5,,S01012397
ZE1 0AJ,Yes,60.153014,-1.141223,447780,1141257,HU477412,"","Shetland Islands","Lerwick North", S12000027,S13002777,Scotland,S99999999,"Orkney and Shetland",1993-05-01,,"","",,,"","","Lerwick North - 02","Very remote small town",,2,,S01012396
ZE1 0AL,Yes,60.152373,-1.140555,447818,1141186,HU478411,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",15,10,"","","Lerwick North - 03","Very remote small town",,5,,S01012397
ZE1 0AN,Yes,60.152598,-1.137883,447966,1141213,HU479412,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",23,13,"","","Lerwick North - 03","Very remote small town",,2,,S01012397
ZE1 0AP,Yes,60.151962,-1.136819,448026,1141143,HU480411,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",24,21,"","","Lerwick North - 03","Very remote small town",,3,,S01012397
ZE1 0AQ,Yes,60.151509,-1.140361,447830,1141090,HU478410,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",28,12,"","","Lerwick North - 03","Very remote small town",,8,,S01012397
ZE1 0AR,Yes,60.151161,-1.140713,447811,1141051,HU478410,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",22,8,"","","Lerwick North - 02","Very remote small town",,10,,S01012396
ZE1 0AS,Yes,60.150546,-1.140008,447851,1140983,HU478409,"","Shetland Islands","Lerwick South", S12000027,S13002778,Scotland,S99999999,"Orkney and Shetland",1980-01-01,,"","",10,7,"","","Lerwick North - 03","Very remote small town",,11,,S01012397
